# Point-charge transverse RW dipolar wake, y-plane
# Source: existing freq_x/freq_y and Zx_C/Zy_C from IW2D model
# Bellows length has been subtracted from the RW impedance.
# No beta multiplication is applied in this cell.
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp [V/C/m]"
#------------------------
0.000000000000	0.0000000000000e+00
0.002997924580	2.4010983338225e+16
0.005995849160	4.7895669255799e+16
0.008993773740	7.1533850795162e+16
0.011991698320	9.4816267316616e+16
0.014989622900	1.1764731892536e+17
0.017987547480	1.3994529210426e+17
0.020985472060	1.6164037785841e+17
0.023983396640	1.8267128283601e+17
0.026981321220	2.0298150275774e+17
0.029979245800	2.2251628454521e+17
0.032977170380	2.4122098213259e+17
0.035975094960	2.5904102496584e+17
0.038973019540	2.7592322328882e+17
0.041970944120	2.9181777781707e+17
0.044968868700	3.0668023731977e+17
0.047966793280	3.2047277087669e+17
0.050964717860	3.3316442873755e+17
0.053962642440	3.4473044079436e+17
0.056960567020	3.5515091715044e+17
0.059958491600	3.6440947414843e+17
0.062956416180	3.7249227437133e+17
0.065954340760	3.7938777086509e+17
0.068952265340	3.8508716659916e+17
0.071950189920	3.8958534288988e+17
0.074948114500	3.9288186214053e+17
0.077946039080	3.9498165337350e+17
0.080943963660	3.9589513043322e+17
0.083941888240	3.9563771199336e+17
0.086939812820	3.9422892628789e+17
0.089937737400	3.9169141629734e+17
0.092935661980	3.8805017129004e+17
0.095933586560	3.8333220283208e+17
0.098931511140	3.7756670409421e+17
0.101929435720	3.7078554961714e+17
0.104927360300	3.6302387439519e+17
0.107925284880	3.5432045521773e+17
0.110923209460	3.4471770346923e+17
0.113921134040	3.3426122986790e+17
0.116919058620	3.2299909921816e+17
0.119916983200	3.1098099931343e+17
0.122914907780	2.9825756658863e+17
0.125912832360	2.8488003971566e+17
0.128910756940	2.7090028173718e+17
0.131908681520	2.5637107239065e+17
0.134906606100	2.4134647646990e+17
0.137904530680	2.2588207466542e+17
0.140902455260	2.1003490398562e+17
0.143900379840	1.9386306963633e+17
0.146898304420	1.7742511436843e+17
0.149896229000	1.6077931849493e+17
0.152894153580	1.4398312330408e+17
0.155892078160	1.2709281798762e+17
0.158890002740	1.1016352785583e+17
0.161887927320	9.3249429443393e+16
0.164885851900	7.6404038135867e+16
0.167883776480	5.9680394649181e+16
0.170881701060	4.3131022978774e+16
0.173879625640	2.6807624676566e+16
0.176877550220	1.0760576515219e+16
0.179875474800	-4.9616276676474e+15
0.182873399380	-2.0312831389690e+16
0.185871323960	-3.5249447993345e+16
0.188869248540	-4.9730436966061e+16
0.191867173120	-6.3717083849445e+16
0.194865097700	-7.7172711942400e+16
0.197863022280	-9.0062472245783e+16
0.200860946860	-1.0235332088668e+17
0.203858871440	-1.1401421624196e+17
0.206856796020	-1.2501648119097e+17
0.209854720600	-1.3533421215167e+17
0.212852645180	-1.4494459899979e+17
0.215850569760	-1.5382805387513e+17
0.218848494340	-1.6196811807159e+17
0.221846418920	-1.6935119696120e+17
0.224844343500	-1.7596623268603e+17
0.227842268080	-1.8180444133389e+17
0.230840192660	-1.8685921029918e+17
0.233838117240	-1.9112618545535e+17
0.236836041820	-1.9460350237093e+17
0.239833966400	-1.9729205964891e+17
0.242831890980	-1.9919571615981e+17
0.245829815560	-2.0032132259416e+17
0.248827740140	-2.0067855948749e+17
0.251825664720	-2.0027962465740e+17
0.254823589300	-1.9913886600859e+17
0.257821513880	-1.9727247141145e+17
0.260819438460	-1.9469830081663e+17
0.263817363040	-1.9143588792654e+17
0.266815287620	-1.8750657210662e+17
0.269813212200	-1.8293367107394e+17
0.272811136780	-1.7774258975138e+17
0.275809061360	-1.7196078543873e+17
0.278806985940	-1.6561756391254e+17
0.281804910520	-1.5874374405595e+17
0.284802835100	-1.5137127622470e+17
0.287800759680	-1.4353291417084e+17
0.290798684260	-1.3526201717259e+17
0.293796608840	-1.2659250759021e+17
0.296794533420	-1.1755894936605e+17
0.299792458000	-1.0819666769164e+17
0.302790382580	-9.8541815960978e+16
0.305788307160	-8.8631317900315e+16
0.308786231740	-7.8502661473722e+16
0.311784156320	-6.8193577893840e+16
0.314782080900	-5.7741682250818e+16
0.317780005480	-4.7184165872961e+16
0.320777930060	-3.6557609984836e+16
0.323775854640	-2.5897943938843e+16
0.326773779220	-1.5240517224194e+16
0.329771703800	-4.6202131610720e+15
0.332769628380	5.9284809815302e+15
0.335767552960	1.6371513299275e+16
0.338765477540	2.6675437802607e+16
0.341763402120	3.6807686410028e+16
0.344761326700	4.6736873080417e+16
0.347759251280	5.6433048079243e+16
0.350757175860	6.5867838816158e+16
0.353755100440	7.5014455770093e+16
0.356753025020	8.3847591425447e+16
0.359750949600	9.2343278083631e+16
0.362748874180	1.0047878274749e+17
0.365746798760	1.0823259977912e+17
0.368744723340	1.1558456182848e+17
0.371742647920	1.2251604220965e+17
0.374740572500	1.2901018548604e+17
0.377738497080	1.3505209111842e+17
0.380736421660	1.4062889174529e+17
0.383734346240	1.4572970622673e+17
0.386732270820	1.5034549306023e+17
0.389730195400	1.5446886485970e+17
0.392728119980	1.5809393617182e+17
0.395726044560	1.6121626097676e+17
0.398723969140	1.6383287924325e+17
0.401721893720	1.6594244820611e+17
0.404719818300	1.6754540025958e+17
0.407717742880	1.6864405815318e+17
0.410715667460	1.6924265344933e+17
0.413713592040	1.6934722978069e+17
0.416711516620	1.6896545456541e+17
0.419709441200	1.6810639545662e+17
0.422707365780	1.6678032871128e+17
0.425705290360	1.6499863204708e+17
0.428703214940	1.6277378032276e+17
0.431701139520	1.6011942177526e+17
0.434699064100	1.5705048105124e+17
0.437696988680	1.5358322468653e+17
0.440694913260	1.4973523873522e+17
0.443692837840	1.4552530126915e+17
0.446690762420	1.4097317168680e+17
0.449688687000	1.3609934924511e+17
0.452686611580	1.3092486352763e+17
0.455684536160	1.2547114605957e+17
0.458682460740	1.1976000040794e+17
0.461680385320	1.1381365019072e+17
0.464678309900	1.0765481491031e+17
0.467676234480	1.0130675350011e+17
0.470674159060	9.4793228472766e+16
0.473672083640	8.8138374357045e+16
0.476670008220	8.1366490800034e+16
0.479667932800	7.4501809303482e+16
0.482665857380	6.7568292317678e+16
0.485663781960	6.0589510869198e+16
0.488661706540	5.3588617085144e+16
0.491659631120	4.6588392414302e+16
0.494657555700	3.9611324589352e+16
0.497655480280	3.2679656850940e+16
0.500653404860	2.5815365048828e+16
0.503651329440	1.9040047093052e+16
0.506649254020	1.2374743695733e+16
0.509647178600	5.8397362753465e+15
0.512645103180	-5.4562284098083e+14
0.515643027760	-6.7630044944201e+15
0.518640952340	-1.2795105630764e+16
0.521638876920	-1.8625579158450e+16
0.524636801500	-2.4238934989414e+16
0.527634726080	-2.9620465588087e+16
0.530632650660	-3.4756238046730e+16
0.533630575240	-3.9633167556159e+16
0.536628499820	-4.4239154638127e+16
0.539626424400	-4.8563243049568e+16
0.542624348980	-5.2595746446075e+16
0.545622273560	-5.6328302869297e+16
0.548620198140	-5.9753842518229e+16
0.551618122720	-6.2866485892992e+16
0.554616047300	-6.5661414203246e+16
0.557613971880	-6.8134762576352e+16
0.560611896460	-7.0283575982417e+16
0.563609821040	-7.2105842158548e+16
0.566607745620	-7.3600585060755e+16
0.569605670200	-7.4767978233448e+16
0.572603594780	-7.5609429060963e+16
0.575601519360	-7.6127595188851e+16
0.578599443940	-7.6326319360736e+16
0.581597368520	-7.6210498882620e+16
0.584595293100	-7.5785929472925e+16
0.587593217680	-7.5059171511896e+16
0.590591142260	-7.4037476694080e+16
0.593589066840	-7.2728788804054e+16
0.596586991420	-7.1141803148381e+16
0.599584916000	-6.9286046222447e+16
0.602582840580	-6.7171929125475e+16
0.605580765160	-6.4810737975519e+16
0.608578689740	-6.2214548242488e+16
0.611576614320	-5.9396078384612e+16
0.614574538900	-5.6368520582595e+16
0.617572463480	-5.3145394264561e+16
0.620570388060	-4.9740458646307e+16
0.623568312640	-4.6167697442018e+16
0.626566237220	-4.2441361126067e+16
0.629564161800	-3.8576030243266e+16
0.632562086380	-3.4586655528895e+16
0.635560010960	-3.0488539813682e+16
0.638557935540	-2.6297249189299e+16
0.641555860120	-2.2028468021076e+16
0.644553784700	-1.7697833770888e+16
0.647551709280	-1.3320795165048e+16
0.650549633860	-8.9125282599482e+15
0.653547558440	-4.4879229873975e+15
0.656545483020	-6.1626268801069e+13
0.659543407600	4.3518931208953e+15
0.662541332180	8.7383001908830e+15
0.665539256760	1.3083403382914e+16
0.668537181340	1.7373230294845e+16
0.671535105920	2.1594155663846e+16
0.674533030500	2.5733047357084e+16
0.677530955080	2.9777388844991e+16
0.680528879660	3.3715345173041e+16
0.683526804240	3.7535760418603e+16
0.686524728820	4.1228099942626e+16
0.689522653400	4.4782370761527e+16
0.692520577980	4.8189060514782e+16
0.695518502560	5.1439127186149e+16
0.698516427140	5.4524051250659e+16
0.701514351720	5.7435937160984e+16
0.704512276300	6.0167631507076e+16
0.707510200880	6.2712818183677e+16
0.710508125460	6.5066059037853e+16
0.713506050040	6.7222768523986e+16
0.716503974620	6.9179135144622e+16
0.719501899200	7.0932021650430e+16
0.722499823780	7.2478882859327e+16
0.725497748360	7.3817732021171e+16
0.728495672940	7.4947167042724e+16
0.731493597520	7.5866444153777e+16
0.734491522100	7.6575567799671e+16
