# Point-charge longitudinal RW wake function
# Source: existing freq_z, Zz_C from IW2D model
#"s / mm"	"W_parallel [V/C]"
#------------------------
0.000000000000	1.8043655868760e+18
0.002997924580	3.5991855302214e+18
0.005995849160	3.5710194651902e+18
0.008993773740	3.5255492263309e+18
0.011991698320	3.4646730847741e+18
0.014989622900	3.3905104794213e+18
0.017987547480	3.3050366894029e+18
0.020985472060	3.2098027843012e+18
0.023983396640	3.1058022647663e+18
0.026981321220	2.9935016448575e+18
0.029979245800	2.8730059420781e+18
0.032977170380	2.7442954133899e+18
0.035975094960	2.6074564885495e+18
0.038973019540	2.4628402831148e+18
0.041970944120	2.3111114170841e+18
0.044968868700	2.1531876602925e+18
0.047966793280	1.9901047711989e+18
0.050964717860	1.8228605114964e+18
0.053962642440	1.6522922103538e+18
0.056960567020	1.4790249833772e+18
0.059958491600	1.3034999634326e+18
0.062956416180	1.1260637363212e+18
0.065954340760	9.4708101546168e+17
0.068952265340	7.6702812185882e+17
0.071950189920	5.8653535817477e+17
0.074948114500	4.0636706148383e+17
0.077946039080	2.2735104399193e+17
0.080943963660	5.0286146867272e+16
0.083941888240	-1.2413777316228e+17
0.086939812820	-2.9538007913986e+17
0.089937737400	-4.6303867183672e+17
0.092935661980	-6.2679631801697e+17
0.095933586560	-7.8634686902710e+17
0.098931511140	-9.4133000789166e+17
0.101929435720	-1.0912982333591e+18
0.104927360300	-1.2357265886631e+18
0.107925284880	-1.3740594154074e+18
0.110923209460	-1.5057751966142e+18
0.113921134040	-1.6304449677007e+18
0.116919058620	-1.7477634336853e+18
0.119916983200	-1.8575430151262e+18
0.122914907780	-1.9596751315677e+18
0.125912832360	-2.0540748260064e+18
0.128910756940	-2.1406301371143e+18
0.131908681520	-2.2191748078058e+18
0.134906606100	-2.2894933946425e+18
0.137904530680	-2.3513554185294e+18
0.140902455260	-2.4045645720406e+18
0.143900379840	-2.4490040049219e+18
0.146898304420	-2.4846609446545e+18
0.149896229000	-2.5116222435234e+18
0.152894153580	-2.5300435470421e+18
0.155892078160	-2.5401044340820e+18
0.158890002740	-2.5419665718406e+18
0.161887927320	-2.5357501148534e+18
0.164885851900	-2.5215361782150e+18
0.167883776480	-2.4993931854483e+18
0.170881701060	-2.4694160510804e+18
0.173879625640	-2.4317627475327e+18
0.176877550220	-2.3866743069054e+18
0.179875474800	-2.3344709553493e+18
0.182873399380	-2.2755262200161e+18
0.185871323960	-2.2102289972044e+18
0.188869248540	-2.1389477223430e+18
0.191867173120	-2.0620095210670e+18
0.194865097700	-1.9797011909839e+18
0.197863022280	-1.8922904672955e+18
0.200860946860	-1.8000584710554e+18
0.203858871440	-1.7033303222710e+18
0.206856796020	-1.6024919745243e+18
0.209854720600	-1.4979868424293e+18
0.212852645180	-1.3902935547960e+18
0.215850569760	-1.2798932056160e+18
0.218848494340	-1.1672381778511e+18
0.221846418920	-1.0527336891603e+18
0.224844343500	-9.3673812973536e+17
0.227842268080	-8.1958104737817e+17
0.230840192660	-7.0159104596880e+17
0.233838117240	-5.8312235422888e+17
0.236836041820	-4.6456962701396e+17
0.239833966400	-3.4636524672124e+17
0.242831890980	-2.2896013161368e+17
0.245829815560	-1.1279524944053e+17
0.248827740140	1.7256325199200e+15
0.251825664720	1.1425213696322e+17
