#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"s / mm"	"Z [Real Part]"
#------------------------
-9.617342052640	1.2246825653360e-12
-9.614344128060	9.6966391976965e-13
-9.611346203480	7.6327673684620e-13
-9.608348278900	7.7454500258053e-13
-9.605350354320	7.8047566875649e-13
-9.602352429740	5.9188048436092e-13
-9.599354505160	6.1382394921198e-13
-9.596356580580	4.6437116157776e-13
-9.593358656000	1.7910611851403e-13
-9.590360731420	4.4717222966747e-13
-9.587362806840	-1.0675199116730e-14
-9.584364882260	2.3485438056806e-13
-9.581366957680	4.6377809496016e-13
-9.578369033100	2.4434344644960e-13
-9.575371108520	2.3129598086248e-13
-9.572373183940	6.3339514759265e-13
-9.569375259360	4.1751889878766e-13
-9.566377334780	5.0588582480949e-13
-9.563379410200	5.5511035406996e-13
-9.560381485620	7.8699940155004e-13
-9.557383561040	3.5999143688084e-13
-9.554385636460	6.1738234891756e-13
-9.551387711880	5.3850448877727e-13
-9.548389787300	6.9507407582265e-13
-9.545391862720	5.3257382260131e-13
-9.542393938140	6.9448100920505e-13
-9.539396013560	6.8677114317630e-13
-9.536398088980	8.3741006404571e-13
-9.533400164400	6.3280208097505e-13
-9.530402239820	6.0018341700727e-13
-9.527404315240	8.4452686345687e-13
-9.524406390660	7.6683513655178e-13
-9.521408466080	7.5319460434707e-13
-9.518410541500	1.0028756503550e-12
-9.515412616920	1.4963070761950e-12
-9.512414692340	1.5888254685400e-12
-9.509416767760	1.8705321118981e-12
-9.506418843180	1.8420649142535e-12
-9.503420918600	1.5840809355992e-12
-9.500422994020	1.6451667972116e-12
-9.497425069440	1.7169278579408e-12
-9.494427144860	1.8598569127814e-12
-9.491429220280	1.6030590673623e-12
-9.488431295700	1.6765993279442e-12
-9.485433371120	1.8373203813128e-12
-9.482435446540	2.0182056996796e-12
-9.479437521960	1.6522835966228e-12
-9.476439597380	1.4909694766366e-12
-9.473441672800	1.6588073294163e-12
-9.470443748220	1.4470825469345e-12
-9.467445823640	1.2116350997489e-12
-9.464447899060	1.2021460338673e-12
-9.461449974480	1.2561150960686e-12
-9.458452049900	1.3735422863526e-12
-9.455454125320	1.5063892086941e-12
-9.452456200740	1.3593086875303e-12
-9.449458276160	1.0864980434361e-12
-9.446460351580	1.2353577644527e-12
-9.443462427000	1.0064340500606e-12
-9.440464502420	1.1309780397558e-12
-9.437466577840	1.0437972469692e-12
-9.434468653260	7.6920740302216e-13
-9.431470728680	8.9612365918773e-13
-9.428472804100	8.4452686345687e-13
-9.425474879520	3.9142396761344e-13
-9.422476954940	3.1729064041392e-13
-9.419479030360	7.3065807287841e-13
-9.416481105780	4.4954449613785e-13
-9.413483181200	6.9329487596986e-13
-9.410485256620	1.0443903135868e-12
-9.407487332040	6.9744634229303e-13
-9.404489407460	6.5059407950294e-13
-9.401491482880	7.4370553846553e-13
-9.398493558300	7.5200847111187e-13
-9.395495633720	6.2331301509352e-13
-9.392497709140	7.5912527052303e-13
-9.389499784560	8.8544846007100e-13
-9.386501859980	8.3978233051610e-13
-9.383503935400	6.8380581008832e-13
-9.380506010820	8.2792099816418e-13
-9.377508086240	7.8225486860928e-13
-9.374510161660	1.1125929746103e-12
-9.371512237080	5.9662501730169e-13
-9.368514312500	5.1122342436785e-13
-9.365516387920	7.8937166802043e-13
-9.362518463340	5.6222715348112e-13
-9.359520538760	7.6031140375822e-13
-9.356522614180	8.3385166434014e-13
-9.353524689600	7.8225486860928e-13
-9.350526765020	8.4867832978004e-13
-9.347528840440	9.4178978874263e-13
-9.344530915860	9.8211831873917e-13
-9.341532991280	9.0501965845167e-13
-9.338535066700	9.4534818844821e-13
