#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Transverse RW dipolar bunch wake, x-plane
# Bellows length has been subtracted from the RW impedance.
# No beta multiplication is applied in this cell.
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp [V/pC/m]"
#------------------------
-9.785225829120	7.4014713875995e-13
-9.782227904540	7.9708153404918e-13
-9.779229979960	7.4014713875995e-13
-9.776232055380	6.8321274347072e-13
-9.773234130800	4.3649703055074e-13
-9.770236206220	5.1240955760304e-13
-9.767238281640	9.4890658815378e-13
-9.764240357060	4.1751889878766e-13
-9.761242432480	5.6934395289227e-13
-9.758244507900	7.5912527052303e-13
-9.755246583320	7.5912527052303e-13
-9.752248658740	6.6423461170765e-13
-9.749250734160	7.5912527052303e-13
-9.746252809580	9.4890658815378e-13
-9.743254885000	4.5547516231382e-13
-9.740256960420	4.1751889878766e-13
-9.737259035840	4.9343142583997e-13
-9.734261111260	2.8467197644614e-13
-9.731263186680	6.0730021641842e-13
-9.728265262100	3.2262823997229e-13
-9.725267337520	2.8467197644614e-13
-9.722269412940	4.1751889878766e-13
-9.719271488360	5.1240955760304e-13
-9.716273563780	-9.4890658815378e-14
-9.713275639200	-5.6934395289227e-14
-9.710277714620	-2.0875944939383e-13
-9.707279790040	0.0000000000000e+00
-9.704281865460	2.8467197644614e-13
-9.701283940880	9.4890658815378e-13
-9.698286016300	7.5912527052303e-14
-9.695288091720	4.3649703055074e-13
-9.692290167140	2.4671571291998e-13
-9.689292242560	4.1751889878766e-13
-9.686294317980	3.7956263526151e-13
-9.683296393400	1.1386879057845e-13
-9.680298468820	1.3284692234153e-13
-9.677300544240	5.5036582112919e-13
-9.674302619660	4.3649703055074e-13
-9.671304695080	9.1095032462763e-13
-9.668306770500	4.5547516231382e-13
-9.665308845920	9.8686285167993e-13
-9.662310921340	5.1240955760304e-13
-9.659312996760	8.7299406110148e-13
-9.656315072180	3.2262823997229e-13
-9.653317147600	7.0219087523380e-13
-9.650319223020	3.0365010820921e-13
-9.647321298440	5.8832208465535e-13
-9.644323373860	3.9854076702459e-13
-9.641325449280	8.9197219286456e-13
-9.638327524700	7.9708153404918e-13
-9.635329600120	4.7445329407689e-13
-9.632331675540	8.7299406110148e-13
-9.629333750960	2.2773758115691e-13
-9.626335826380	5.8832208465535e-13
-9.623337901800	9.2992845639071e-13
-9.620339977220	8.3503779757533e-13
-9.617342052640	1.1007316422584e-12
-9.614344128060	9.6788471991686e-13
-9.611346203480	1.3854036187045e-12
-9.608348278900	1.0248191152061e-12
-9.605350354320	1.4613161457568e-12
-9.602352429740	8.1605966581225e-13
-9.599354505160	9.6788471991686e-13
-9.596356580580	1.0817535104953e-12
-9.593358656000	1.2146004328368e-12
-9.590360731420	1.1386879057845e-12
-9.587362806840	1.1766441693107e-12
-9.584364882260	1.0627753787322e-12
-9.581366957680	5.6934395289227e-13
-9.578369033100	5.5036582112919e-13
-9.575371108520	8.3503779757533e-13
-9.572373183940	1.2525566963630e-12
-9.569375259360	7.9708153404918e-13
-9.566377334780	8.5401592933841e-13
-9.563379410200	4.1751889878766e-13
-9.560381485620	6.8321274347072e-13
-9.557383561040	7.0219087523380e-13
-9.554385636460	7.0219087523380e-13
-9.551387711880	5.1240955760304e-13
-9.548389787300	9.4890658815378e-14
-9.545391862720	2.8467197644614e-13
-9.542393938140	4.3649703055074e-13
-9.539396013560	8.3503779757533e-13
-9.536398088980	6.0730021641842e-13
-9.533400164400	7.7810340228610e-13
-9.530402239820	6.0730021641842e-13
-9.527404315240	1.0248191152061e-12
-9.524406390660	6.2627834818150e-13
-9.521408466080	4.3649703055074e-13
-9.518410541500	6.8321274347072e-13
-9.515412616920	3.2262823997229e-13
-9.512414692340	3.9854076702459e-13
-9.509416767760	4.9343142583997e-13
-9.506418843180	5.6934395289227e-14
-9.503420918600	7.9708153404918e-13
-9.500422994020	8.3503779757533e-13
-9.497425069440	4.7445329407689e-13
-9.494427144860	3.4160637173536e-13
-9.491429220280	1.8978131763076e-13
-9.488431295700	3.2262823997229e-13
-9.485433371120	7.5912527052303e-14
-9.482435446540	1.1386879057845e-13
-9.479437521960	7.0219087523380e-13
-9.476439597380	7.5912527052303e-13
-9.473441672800	1.7080318586768e-13
-9.470443748220	4.5547516231382e-13
-9.467445823640	1.1386879057845e-13
-9.464447899060	5.5036582112919e-13
-9.461449974480	4.5547516231382e-13
-9.458452049900	1.1386879057845e-12
-9.455454125320	8.7299406110148e-13
-9.452456200740	7.9708153404918e-13
-9.449458276160	1.1956223010738e-12
-9.446460351580	6.4525647994457e-13
-9.443462427000	1.2146004328368e-12
-9.440464502420	3.2262823997229e-13
-9.437466577840	4.1751889878766e-13
-9.434468653260	3.7956263526151e-13
-9.431470728680	9.1095032462763e-13
-9.428472804100	8.9197219286456e-13
-9.425474879520	8.1605966581225e-13
-9.422476954940	1.0437972469692e-12
-9.419479030360	8.1605966581225e-13
-9.416481105780	8.1605966581225e-13
-9.413483181200	7.9708153404918e-13
-9.410485256620	8.5401592933841e-13
-9.407487332040	7.0219087523380e-13
-9.404489407460	3.7956263526151e-13
-9.401491482880	3.7956263526151e-13
-9.398493558300	1.8978131763076e-13
-9.395495633720	7.0219087523380e-13
-9.392497709140	4.1751889878766e-13
-9.389499784560	4.9343142583997e-13
-9.386501859980	3.9854076702459e-13
-9.383503935400	1.8978131763076e-13
-9.380506010820	3.6058450349844e-13
-9.377508086240	4.3649703055074e-13
-9.374510161660	4.5547516231382e-13
-9.371512237080	7.2116900699688e-13
-9.368514312500	6.2627834818150e-13
-9.365516387920	7.0219087523380e-13
-9.362518463340	-1.8978131763076e-14
-9.359520538760	1.8978131763076e-13
-9.356522614180	1.0248191152061e-12
-9.353524689600	6.2627834818150e-13
-9.350526765020	4.5547516231382e-13
-9.347528840440	1.8978131763076e-13
-9.344530915860	3.0365010820921e-13
-9.341532991280	3.0365010820921e-13
-9.338535066700	6.4525647994457e-13
-9.335537142120	4.5547516231382e-13
-9.332539217540	3.7956263526151e-14
-9.329541292960	1.7080318586768e-13
-9.326543368380	3.7956263526151e-13
-9.323545443800	5.3138768936612e-13
-9.320547519220	1.5182505410461e-13
-9.317549594640	8.3503779757533e-13
-9.314551670060	6.8321274347072e-13
-9.311553745480	3.2262823997229e-13
-9.308555820900	5.6934395289227e-13
-9.305557896320	4.5547516231382e-13
-9.302559971740	8.1605966581225e-13
-9.299562047160	5.3138768936612e-13
-9.296564122580	9.4890658815378e-13
-9.293566198000	1.0817535104953e-12
-9.290568273420	7.5912527052303e-13
-9.287570348840	6.4525647994457e-13
-9.284572424260	5.8832208465535e-13
-9.281574499680	1.1386879057845e-12
-9.278576575100	3.2262823997229e-13
-9.275578650520	5.1240955760304e-13
-9.272580725940	6.4525647994457e-13
-9.269582801360	9.4890658815378e-13
-9.266584876780	2.8467197644614e-13
-9.263586952200	1.1197097740215e-12
-9.260589027620	7.4014713875995e-13
-9.257591103040	2.4671571291998e-13
-9.254593178460	8.5401592933841e-13
-9.251595253880	5.3138768936612e-13
-9.248597329300	6.8321274347072e-13
-9.245599404720	9.4890658815378e-13
-9.242601480140	4.5547516231382e-13
-9.239603555560	4.3649703055074e-13
-9.236605630980	4.9343142583997e-13
-9.233607706400	7.0219087523380e-13
-9.230609781820	3.7956263526151e-13
-9.227611857240	-9.4890658815378e-14
-9.224613932660	9.4890658815378e-14
-9.221616008080	2.6569384468306e-13
-9.218618083500	1.3284692234153e-13
-9.215620158920	4.3649703055074e-13
-9.212622234340	9.4890658815378e-14
-9.209624309760	5.1240955760304e-13
-9.206626385180	5.3138768936612e-13
-9.203628460600	6.4525647994457e-13
-9.200630536020	3.6058450349844e-13
-9.197632611440	5.6934395289227e-14
-9.194634686860	6.6423461170765e-13
-9.191636762280	7.0219087523380e-13
-9.188638837700	6.8321274347072e-13
-9.185640913120	6.6423461170765e-13
-9.182642988540	7.9708153404918e-13
-9.179645063960	5.3138768936612e-13
-9.176647139380	2.8467197644614e-13
-9.173649214800	4.5547516231382e-13
-9.170651290220	2.4671571291998e-13
-9.167653365640	5.5036582112919e-13
-9.164655441060	4.1751889878766e-13
-9.161657516480	6.2627834818150e-13
-9.158659591900	3.7956263526151e-13
-9.155661667320	7.9708153404918e-13
-9.152663742740	3.7956263526151e-13
-9.149665818160	3.4160637173536e-13
-9.146667893580	3.9854076702459e-13
-9.143669969000	4.7445329407689e-13
-9.140672044420	6.4525647994457e-13
-9.137674119840	5.8832208465535e-13
-9.134676195260	3.7956263526151e-13
-9.131678270680	1.0437972469692e-12
-9.128680346100	7.2116900699688e-13
-9.125682421520	1.0437972469692e-12
-9.122684496940	2.4671571291998e-13
-9.119686572360	9.1095032462763e-13
-9.116688647780	4.3649703055074e-13
-9.113690723200	4.9343142583997e-13
-9.110692798620	4.9343142583997e-13
-9.107694874040	7.7810340228610e-13
-9.104696949460	8.1605966581225e-13
-9.101699024880	1.0817535104953e-12
