#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, y-plane
#"s / mm"	"W_perp_beta [V/pC]"
#------------------------
-7.434852958400	-8.8959992639417e-14
-7.404873712600	1.6902398601489e-13
-7.374894466800	-3.5583997055767e-13
-7.344915221000	-1.5123198748701e-13
-7.314935975200	3.5583997055767e-14
-7.284956729400	-2.1350398233460e-13
-7.254977483600	-1.5123198748701e-13
-7.224998237800	-1.1564799043124e-13
-7.195018992000	-1.9571198380672e-13
-7.165039746200	-3.2025597350190e-13
-7.135060500400	1.2454398969518e-13
-7.105081254600	-8.8959992639417e-14
-7.075102008800	1.9571198380672e-13
-7.045122763000	8.8959992639417e-14
-7.015143517200	-2.4908797939037e-13
-6.985164271400	-4.2700796466920e-13
-6.955185025600	-1.2454398969518e-13
-6.925205779800	-2.1350398233460e-13
-6.895226534000	-1.0675199116730e-13
-6.865247288200	-1.7791998527883e-13
-6.835268042400	-1.9571198380672e-13
-6.805288796600	5.3375995583650e-14
-6.775309550800	-5.3375995583650e-14
-6.745330305000	0.0000000000000e+00
-6.715351059200	-7.1167994111534e-14
-6.685371813400	5.3375995583650e-14
-6.655392567600	-7.1167994111534e-14
-6.625413321800	1.0675199116730e-13
-6.595434076000	-3.5583997055767e-14
-6.565454830200	3.5583997055767e-14
-6.535475584400	2.1350398233460e-13
-6.505496338600	0.0000000000000e+00
-6.475517092800	0.0000000000000e+00
-6.445537847000	2.1350398233460e-13
-6.415558601200	2.1350398233460e-13
-6.385579355400	3.5583997055767e-13
-6.355600109600	3.5583997055767e-14
-6.325620863800	2.8467197644614e-13
-6.295641618000	-7.1167994111534e-14
-6.265662372200	-1.7791998527883e-13
-6.235683126400	3.5583997055767e-14
-6.205703880600	-3.5583997055767e-14
-6.175724634800	0.0000000000000e+00
-6.145745389000	3.5583997055767e-14
-6.115766143200	1.4233598822307e-13
-6.085786897400	3.5583997055767e-14
-6.055807651600	-3.5583997055767e-14
-6.025828405800	-1.4233598822307e-13
-5.995849160000	-2.8467197644614e-13
-5.965869914200	2.1350398233460e-13
-5.935890668400	-2.1350398233460e-13
-5.905911422600	2.1350398233460e-13
-5.875932176800	-4.6259196172497e-13
-5.845952931000	-1.0675199116730e-13
-5.815973685200	2.8467197644614e-13
-5.785994439400	-3.5583997055767e-14
-5.756015193600	1.7791998527883e-13
-5.726035947800	2.4908797939037e-13
-5.696056702000	0.0000000000000e+00
-5.666077456200	-7.1167994111534e-14
-5.636098210400	-3.5583997055767e-14
-5.606118964600	1.7791998527883e-13
-5.576139718800	7.1167994111534e-14
-5.546160473000	-2.8467197644614e-13
-5.516181227200	7.1167994111534e-14
-5.486201981400	-1.4233598822307e-13
-5.456222735600	-7.1167994111534e-14
-5.426243489800	-2.1350398233460e-13
-5.396264244000	-1.7791998527883e-13
-5.366284998200	-7.1167994111534e-14
-5.336305752400	-7.1167994111534e-14
-5.306326506600	-2.8467197644614e-13
-5.276347260800	-2.1350398233460e-13
-5.246368015000	1.4233598822307e-13
-5.216388769200	-2.8467197644614e-13
-5.186409523400	-1.4233598822307e-13
-5.156430277600	0.0000000000000e+00
-5.126451031800	2.1350398233460e-13
-5.096471786000	-3.5583997055767e-13
-5.066492540200	-2.8467197644614e-13
-5.036513294400	-7.1167994111534e-14
-5.006534048600	-4.2700796466920e-13
-4.976554802800	0.0000000000000e+00
-4.946575557000	0.0000000000000e+00
-4.916596311200	2.1350398233460e-13
-4.886617065400	2.8467197644614e-13
-4.856637819600	-7.1167994111534e-14
-4.826658573800	-1.4233598822307e-13
-4.796679328000	-2.8467197644614e-13
-4.766700082200	-3.5583997055767e-13
-4.736720836400	0.0000000000000e+00
-4.706741590600	-1.4233598822307e-13
-4.676762344800	-1.4233598822307e-13
-4.646783099000	4.2700796466920e-13
-4.616803853200	-7.1167994111534e-14
-4.586824607400	0.0000000000000e+00
-4.556845361600	-7.1167994111534e-14
-4.526866115800	2.8467197644614e-13
-4.496886870000	0.0000000000000e+00
-4.466907624200	-1.4233598822307e-13
-4.436928378400	1.4233598822307e-13
-4.406949132600	2.8467197644614e-13
-4.376969886800	2.1350398233460e-13
-4.346990641000	-7.1167994111534e-14
-4.317011395200	7.1167994111534e-14
-4.287032149400	7.1167994111534e-14
-4.257052903600	-3.5583997055767e-14
-4.227073657800	1.4233598822307e-13
-4.197094412000	1.4233598822307e-13
-4.167115166200	2.1350398233460e-13
-4.137135920400	-1.4233598822307e-13
-4.107156674600	1.0675199116730e-13
-4.077177428800	3.5583997055767e-13
