# Freq(GHz) Re(Zx/y) Im(Zx/y)
# Unit: Ohm/m
# Transverse offset used for normalization: 1.200000e+01 mm
1.290000e+00 3.568103e+04 -1.051232e+03
1.300000e+00 4.627364e+04 -1.998468e+03
1.310000e+00 6.584044e+04 -2.200936e+03
1.320000e+00 1.126047e+05 5.672055e+03
1.330000e+00 2.465219e+05 1.762615e+05
1.340000e+00 -1.265904e+05 1.495043e+05
1.350000e+00 -7.405654e+04 5.202796e+04
1.360000e+00 -4.899382e+04 3.128799e+04
1.370000e+00 -3.610979e+04 2.314573e+04
1.380000e+00 -2.835870e+04 1.892474e+04
1.390000e+00 -2.319283e+04 1.637371e+04
1.400000e+00 -1.950165e+04 1.467551e+04
1.410000e+00 -1.672860e+04 1.346752e+04
1.420000e+00 -1.456509e+04 1.256568e+04
1.430000e+00 -1.282656e+04 1.186715e+04
1.440000e+00 -1.139599e+04 1.131015e+04
1.450000e+00 -1.019565e+04 1.085541e+04
1.460000e+00 -9.171885e+03 1.047679e+04
1.470000e+00 -8.286494e+03 1.015628e+04
1.480000e+00 -7.511543e+03 9.881032e+03
1.490000e+00 -6.826134e+03 9.641664e+03
1.500000e+00 -6.214326e+03 9.431164e+03
1.510000e+00 -5.663749e+03 9.244186e+03
1.520000e+00 -5.164659e+03 9.076584e+03
1.530000e+00 -4.709275e+03 8.925095e+03
1.540000e+00 -4.291312e+03 8.787115e+03
1.550000e+00 -3.905640e+03 8.660542e+03
1.560000e+00 -3.548027e+03 8.543662e+03
1.570000e+00 -3.214954e+03 8.435059e+03
1.580000e+00 -2.903472e+03 8.333560e+03
1.590000e+00 -2.611090e+03 8.238177e+03
1.600000e+00 -2.335691e+03 8.148080e+03
1.610000e+00 -2.075464e+03 8.062561e+03
1.620000e+00 -1.828852e+03 7.981016e+03
1.630000e+00 -1.594510e+03 7.902923e+03
1.640000e+00 -1.371267e+03 7.827833e+03
1.650000e+00 -1.158104e+03 7.755355e+03
1.660000e+00 -9.541267e+02 7.685148e+03
1.670000e+00 -7.585484e+02 7.616911e+03
1.680000e+00 -5.706753e+02 7.550383e+03
1.690000e+00 -3.898927e+02 7.485330e+03
1.700000e+00 -2.156545e+02 7.421547e+03
1.710000e+00 -4.747421e+01 7.358850e+03
1.720000e+00 1.150830e+02 7.297077e+03
1.730000e+00 2.724064e+02 7.236081e+03
1.740000e+00 4.248457e+02 7.175732e+03
1.750000e+00 5.727154e+02 7.115914e+03
1.760000e+00 7.162993e+02 7.056521e+03
1.770000e+00 8.558537e+02 6.997458e+03
1.780000e+00 9.916106e+02 6.938640e+03
1.790000e+00 1.123780e+03 6.879989e+03
1.800000e+00 1.252554e+03 6.821437e+03
1.810000e+00 1.378105e+03 6.762920e+03
1.820000e+00 1.500591e+03 6.704381e+03
1.830000e+00 1.620158e+03 6.645768e+03
1.840000e+00 1.736936e+03 6.587034e+03
1.850000e+00 1.851046e+03 6.528138e+03
1.860000e+00 1.962599e+03 6.469041e+03
1.870000e+00 2.071694e+03 6.409709e+03
1.880000e+00 2.178425e+03 6.350109e+03
1.890000e+00 2.282876e+03 6.290214e+03
1.900000e+00 2.385125e+03 6.229999e+03
1.910000e+00 2.485243e+03 6.169440e+03
1.920000e+00 2.583297e+03 6.108518e+03
1.930000e+00 2.679345e+03 6.047213e+03
1.940000e+00 2.773445e+03 5.985511e+03
1.950000e+00 2.865648e+03 5.923396e+03
1.960000e+00 2.955999e+03 5.860856e+03
1.970000e+00 3.044543e+03 5.797881e+03
1.980000e+00 3.131319e+03 5.734460e+03
1.990000e+00 3.216365e+03 5.670586e+03
2.000000e+00 3.299713e+03 5.606253e+03
2.010000e+00 3.381396e+03 5.541454e+03
2.020000e+00 3.461441e+03 5.476186e+03
2.030000e+00 3.539877e+03 5.410446e+03
2.040000e+00 3.616726e+03 5.344232e+03
2.050000e+00 3.692011e+03 5.277542e+03
2.060000e+00 3.765754e+03 5.210377e+03
2.070000e+00 3.837972e+03 5.142736e+03
2.080000e+00 3.908684e+03 5.074623e+03
2.090000e+00 3.977907e+03 5.006038e+03
2.100000e+00 4.045654e+03 4.936985e+03
2.110000e+00 4.111939e+03 4.867468e+03
2.120000e+00 4.176776e+03 4.797492e+03
2.130000e+00 4.240175e+03 4.727060e+03
2.140000e+00 4.302148e+03 4.656180e+03
2.150000e+00 4.362704e+03 4.584856e+03
2.160000e+00 4.421852e+03 4.513096e+03
2.170000e+00 4.479601e+03 4.440907e+03
2.180000e+00 4.535958e+03 4.368297e+03
2.190000e+00 4.590931e+03 4.295274e+03
2.200000e+00 4.644526e+03 4.221847e+03
2.210000e+00 4.696748e+03 4.148024e+03
2.220000e+00 4.747605e+03 4.073816e+03
2.230000e+00 4.797099e+03 3.999232e+03
2.240000e+00 4.845238e+03 3.924282e+03
2.250000e+00 4.892024e+03 3.848977e+03
2.260000e+00 4.937462e+03 3.773329e+03
2.270000e+00 4.981557e+03 3.697347e+03
2.280000e+00 5.024310e+03 3.621045e+03
2.290000e+00 5.065727e+03 3.544433e+03
2.300000e+00 5.105809e+03 3.467524e+03
2.310000e+00 5.144561e+03 3.390330e+03
2.320000e+00 5.181985e+03 3.312864e+03
2.330000e+00 5.218084e+03 3.235139e+03
2.340000e+00 5.252860e+03 3.157168e+03
2.350000e+00 5.286317e+03 3.078964e+03
2.360000e+00 5.318457e+03 3.000542e+03
2.370000e+00 5.349281e+03 2.921913e+03
2.380000e+00 5.378794e+03 2.843093e+03
