#Parameters = {mesh_cpw=10; sigma_z=3; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"Frequency / GHz"	"Z (sigma_z=3) [Magnitude]"
#---------------------------------------------
0.0000000000000	59.376428345654
0.034130482038120	67.844640372479
0.068260964076239	88.444376257584
0.10239144611436	114.65940818946
0.13652192815248	143.22829924083
0.17065241019060	172.74223014391
0.20478289222872	202.52327231003
0.23891337426684	232.19159063275
0.27304385630496	261.50216783241
0.30717433834308	290.27773464170
0.34130482038120	318.37857847820
0.37543530241931	345.68784327931
0.40956578445743	372.10390665185
0.44369626649555	397.53623111882
0.47782674853367	421.90302623094
0.51195723057179	445.12990241463
0.54608771260991	467.14908995720
0.58021819464803	487.89898992618
0.61434867668615	507.32392402651
0.64847915872427	525.37400466705
0.68260964076239	542.00507707100
0.71674012280051	557.17870309228
0.75087060483863	570.86216713637
0.78500108687675	583.02849124395
0.81913156891487	593.65645064561
0.85326205095299	602.73058388208
0.88739253299111	610.24119346450
0.92152301502923	616.18433435369
0.95565349706735	620.56178847350
0.98978397910547	623.38102416777
1.0239144611436	624.65514004778
1.0580449431817	624.40279311120
1.0921754252198	622.64811138203
1.1263059072579	619.42059165089
1.1604363892961	614.75498320500
1.1945668713342	608.69115874581
1.2286973533723	601.27397401042
1.2628278354104	592.55311795894
1.2969583174485	582.58295577476
1.3310887994867	571.42236736880
1.3652192815248	559.13458460008
1.3993497635629	545.78703104968
1.4334802456010	531.45116894358
1.4676107276391	516.20235874896
1.5017412096773	500.11973811504
1.5358716917154	483.28612824717
1.5700021737535	465.78797755332
1.6041326557916	447.71535454967
1.6382631378297	429.16200461038
1.6723936198679	410.22548821418
1.7065241019060	391.00742180509
1.7406545839441	371.61384598451
1.7747850659822	352.15574884423
1.8089155480203	332.74977347426
1.8430460300585	313.51913536786
1.8771765120966	294.59476265517
1.9113069941347	276.11664112034
1.9454374761728	258.23528236271
1.9795679582109	241.11311530467
2.0136984402491	224.92539983143
2.0478289222872	209.85995063319
2.0819594043253	196.11454582624
2.1160898863634	183.89048293305
2.1502203684015	173.38063258566
2.1843508504396	164.75106633391
2.2184813324778	158.11745721367
2.2526118145159	153.52084439660
2.2867422965540	150.91036976570
2.3208727785921	150.14044341784
2.3550032606302	150.98505325607
2.3891337426684	153.16497311464
2.4232642247065	156.37912886155
2.4573947067446	160.33186581640
2.4915251887827	164.75174118256
2.5256556708208	169.40151727554
2.5597861528590	174.08135014467
2.5939166348971	178.62771381722
2.6280471169352	182.91016425247
2.6621775989733	186.82734245084
2.6963080810114	190.30300616721
2.7304385630496	193.28246322063
2.7645690450877	195.72953411885
2.7986995271258	197.62404417417
2.8328300091639	198.95978810724
2.8669604912020	199.74289073221
2.9010909732402	199.99048597511
2.9352214552783	199.72964223628
2.9693519373164	198.99646928156
3.0034824193545	197.83534770728
3.0376129013926	196.29822545009
3.0717433834308	194.44392658708
3.1058738654689	192.33741620213
3.1400043475070	190.04896237966
3.1741348295451	187.65313413519
3.2082653115832	185.22757485455
3.2423957936214	182.85149799065
3.2765262756595	180.60386927361
3.3106567576976	178.56127103401
3.3447872397357	176.79549091114
3.3789177217738	175.37093659212
3.4130482038120	174.34204178209
3.4471786858501	173.75088179194
3.4813091678882	173.62524222441
3.5154396499263	173.97736635751
3.5495701319644	174.80354116046
3.5837006140025	176.08457838486
3.6178310960407	177.78712916361
3.6519615780788	179.86566679814
3.6860920601169	182.26490641076
3.7202225421550	184.92241207394
3.7543530241931	187.77116724881
3.7884835062313	190.74193796706
3.8226139882694	193.76532227589
3.8567444703075	196.77343924147
3.8908749523456	199.70125751454
3.9250054343837	202.48759430111
3.9591359164219	205.07583192288
3.9932663984600	207.41440441873
4.0273968804981	209.45710465821
4.0615273625362	211.16325649583
4.0956578445743	212.49778898767
4.1297883266125	213.43124214214
4.1639188086506	213.93972691233
4.1980492906887	214.00485650983
4.2321797727268	213.61366168484
4.2663102547649	212.75849927705
4.3004407368031	211.43696092514
4.3345712188412	209.65178714422
4.3687017008793	207.41079085552
4.4028321829174	204.72679371204
4.4369626649555	201.61757804399
4.4710931469937	198.10585678228
4.5052236290318	194.21926311776
4.5393541110699	189.99036068322
4.5734845931080	185.45667339483
4.6076150751461	180.66073134044
4.6417455571843	175.65012469368
4.6758760392224	170.47755084559
4.7100065212605	165.20082992412
4.7441370032986	159.88284974634
4.7782674853367	154.59138244528
4.8123979673749	149.39869186670
4.8465284494130	144.38082563659
4.8806589314511	139.61646428490
4.9147894134892	135.18519265535
4.9489198955273	131.16508210784
4.9830503775654	127.62954446156
5.0171808596036	124.64355330738
5.0513113416417	122.25951842664
5.0854418236798	120.51330342258
5.1195723057179	119.42101845642
5.1537027877560	118.97721253476
5.1878332697942	119.15488728538
5.2219637518323	119.90739624702
5.2560942338704	121.17190254105
5.2902247159085	122.87378665952
5.3243551979466	124.93131087685
5.3584856799848	127.25994877986
5.3926161620229	129.77599872924
5.4267466440610	132.39932534789
5.4608771260991	135.05524922408
5.4950076081372	137.67570932548
5.5291380901754	140.19986304022
5.5632685722135	142.57428614034
5.5973990542516	144.75291015739
5.6315295362897	146.69680276720
5.6656600183278	148.37386645522
5.6997905003660	149.75850574060
5.7339209824041	150.83129438788
5.7680514644422	151.57866068891
5.8021819464803	151.99259989872
5.8363124285184	152.07041707060
5.8704429105566	151.81449983878
5.9045733925947	151.23211834082
5.9387038746328	150.33524784936
5.9728343566709	149.14040834035
6.0069648387090	147.66851381688
6.0410953207472	145.94472246631
6.0752258027853	143.99827644606
6.1093562848234	141.86231713090
6.1434867668615	139.57365796981
6.1776172488996	137.17249281430
6.2117477309378	134.70201307435
6.2458782129759	132.20790310119
6.2800086950140	129.73768107335
6.3141391770521	127.33985423675
6.3482696590902	125.06286495786
6.3824001411283	122.95382006856
6.4165306231665	121.05702196848
6.4506611052046	119.41235535999
6.4847915872427	118.05362433951
6.5189220692808	117.00697278218
6.5530525513189	116.28954534918
6.5871830333571	115.90854588548
6.6213135153952	115.86081807733
