#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, x-plane
#"s / mm"	"W_perp_beta [V/pC]"
#------------------------
3.597509496000	9.7765514562401e+03
3.627488741800	9.8259366438612e+03
3.657467987600	9.8744858713897e+03
3.687447233400	9.9221969456165e+03
3.717426479200	9.9690680203977e+03
3.747405725000	1.0015097601172e+04
3.777384970800	1.0060284549217e+04
3.807364216600	1.0104628085629e+04
3.837343462400	1.0148127795037e+04
3.867322708200	1.0190783629027e+04
3.897301954000	1.0232595909284e+04
3.927281199800	1.0273565330442e+04
3.957260445600	1.0313692962634e+04
3.987239691400	1.0352980253748e+04
4.017218937200	1.0391429031366e+04
4.047198183000	1.0429041504405e+04
4.077177428800	1.0465820264441e+04
4.107156674600	1.0501768286709e+04
4.137135920400	1.0536888930791e+04
4.167115166200	1.0571185940981e+04
4.197094412000	1.0604663446318e+04
4.227073657800	1.0637325960296e+04
4.257052903600	1.0669178380245e+04
4.287032149400	1.0700225986373e+04
4.317011395200	1.0730474440485e+04
4.346990641000	1.0759929784361e+04
4.376969886800	1.0788598437801e+04
4.406949132600	1.0816487196334e+04
4.436928378400	1.0843603228593e+04
4.466907624200	1.0869954073356e+04
4.496886870000	1.0895547636246e+04
4.526866115800	1.0920392186107e+04
4.556845361600	1.0944496351038e+04
4.586824607400	1.0967869114101e+04
4.616803853200	1.0990519808699e+04
4.646783099000	1.1012458113628e+04
4.676762344800	1.1033694047800e+04
4.706741590600	1.1054237964647e+04
4.736720836400	1.1074100546209e+04
4.766700082200	1.1093292796900e+04
4.796679328000	1.1111826036969e+04
4.826658573800	1.1129711895649e+04
4.856637819600	1.1146962304005e+04
4.886617065400	1.1163589487483e+04
4.916596311200	1.1179605958162e+04
4.946575557000	1.1195024506726e+04
4.976554802800	1.1209858194145e+04
5.006534048600	1.1224120343081e+04
5.036513294400	1.1237824529026e+04
5.066492540200	1.1250984571175e+04
5.096471786000	1.1263614523038e+04
5.126451031800	1.1275728662804e+04
5.156430277600	1.1287341483462e+04
5.186409523400	1.1298467682685e+04
5.216388769200	1.1309122152485e+04
5.246368015000	1.1319319968648e+04
5.276347260800	1.1329076379960e+04
5.306326506600	1.1338406797222e+04
5.336305752400	1.1347326782082e+04
5.366284998200	1.1355852035665e+04
5.396264244000	1.1363998387045e+04
5.426243489800	1.1371781781529e+04
5.456222735600	1.1379218268801e+04
5.486201981400	1.1386323990906e+04
5.516181227200	1.1393115170100e+04
5.546160473000	1.1399608096570e+04
5.576139718800	1.1405819116038e+04
5.606118964600	1.1411764617254e+04
5.636098210400	1.1417461019393e+04
5.666077456200	1.1422924759363e+04
5.696056702000	1.1428172279044e+04
5.726035947800	1.1433220012451e+04
5.756015193600	1.1438084372849e+04
5.785994439400	1.1442781739826e+04
5.815973685200	1.1447328446331e+04
5.845952931000	1.1451740765690e+04
5.875932176800	1.1456034898613e+04
5.905911422600	1.1460226960207e+04
5.935890668400	1.1464332966997e+04
5.965869914200	1.1468368823971e+04
5.995849160000	1.1472350311664e+04
6.025828405800	1.1476293073287e+04
6.055807651600	1.1480212601917e+04
6.085786897400	1.1484124227753e+04
6.115766143200	1.1488043105458e+04
6.145745389000	1.1491984201589e+04
6.175724634800	1.1495962282137e+04
6.205703880600	1.1499991900175e+04
6.235683126400	1.1504087383642e+04
6.265662372200	1.1508262823253e+04
6.295641618000	1.1512532060569e+04
6.325620863800	1.1516908676219e+04
6.355600109600	1.1521405978297e+04
6.385579355400	1.1526036990939e+04
6.415558601200	1.1530814443088e+04
6.445537847000	1.1535750757471e+04
6.475517092800	1.1540858039777e+04
6.505496338600	1.1546148068065e+04
6.535475584400	1.1551632282406e+04
6.565454830200	1.1557321774763e+04
6.595434076000	1.1563227279125e+04
6.625413321800	1.1569359161905e+04
6.655392567600	1.1575727412606e+04
6.685371813400	1.1582341634770e+04
6.715351059200	1.1589211037213e+04
6.745330305000	1.1596344425561e+04
6.775309550800	1.1603750194090e+04
6.805288796600	1.1611436317878e+04
6.835268042400	1.1619410345284e+04
6.865247288200	1.1627679390752e+04
6.895226534000	1.1636250127954e+04
6.925205779800	1.1645128783275e+04
6.955185025600	1.1654321129655e+04
6.985164271400	1.1663832480777e+04
7.015143517200	1.1673667685631e+04
7.045122763000	1.1683831123436e+04
7.075102008800	1.1694326698947e+04
7.105081254600	1.1705157838131e+04
7.135060500400	1.1716327484243e+04
7.165039746200	1.1727838094274e+04
7.195018992000	1.1739691635810e+04
7.224998237800	1.1751889584276e+04
7.254977483600	1.1764432920589e+04
7.284956729400	1.1777322129216e+04
7.314935975200	1.1790557196633e+04
7.344915221000	1.1804137610203e+04
7.374894466800	1.1818062357462e+04
7.404873712600	1.1832329925821e+04
7.434852958400	1.1846938302683e+04
