#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, y-plane
# beta_factor is dimensionless: sum(beta_i/<beta>)
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp_beta [V/pC/m]"
#------------------------
-7.674686924800	1.0146999160434e-14
-7.644707679000	1.2787998941916e-14
-7.614728433200	7.0889994134536e-15
-7.584749187400	1.8625998458878e-14
-7.554769941600	1.7235998573887e-14
-7.524790695800	2.0710998286364e-14
-7.494811450000	1.0424999137432e-14
-7.464832204200	2.1266998240361e-14
-7.434852958400	9.8689991834353e-15
-7.404873712600	1.6679998619891e-14
-7.374894466800	9.4519992179381e-15
-7.344915221000	9.3129992294390e-15
-7.314935975200	1.0980999091428e-14
-7.284956729400	1.9737998366871e-14
-7.254977483600	6.3939994709581e-15
-7.224998237800	1.5567998711898e-14
-7.195018992000	4.1699996549727e-16
-7.165039746200	8.8264992696922e-15
-7.135060500400	-5.3514995572149e-15
-7.105081254600	1.8069998504882e-15
-7.075102008800	-4.8649995974681e-15
-7.045122763000	7.9229993444481e-15
-7.015143517200	-6.5329994594572e-15
-6.985164271400	1.0772499108679e-14
-6.955185025600	-1.2440498970668e-14
-6.925205779800	-2.3629998044845e-15
-6.895226534000	-1.0146999160434e-14
-6.865247288200	-5.6989995284627e-15
-6.835268042400	-6.7414994422058e-15
-6.805288796600	4.1699996549727e-15
-6.775309550800	-1.4316998815406e-14
-6.745330305000	-6.8109994364554e-15
-6.715351059200	1.5289998734900e-15
-6.685371813400	5.4209995514645e-15
-6.655392567600	-8.2009993214463e-15
-6.625413321800	-8.3747493070701e-15
-6.595434076000	-6.4287494680829e-15
-6.565454830200	2.8842497613561e-15
-6.535475584400	-8.7222492783179e-15
-6.505496338600	-2.3629998044845e-15
-6.475517092800	-1.6558373629954e-14
-6.445537847000	-3.1274997412295e-15
-6.415558601200	-2.4411872980153e-14
-6.385579355400	-9.7647491920610e-15
-6.355600109600	-1.5767811195365e-14
-6.325620863800	-1.0160030409355e-14
-6.295641618000	-1.6397654893252e-14
-6.265662372200	-1.4280076943461e-14
-6.235683126400	-1.8643373457440e-14
-6.205703880600	-1.0364186642463e-14
-6.175724634800	-2.3421498062097e-14
-6.145745389000	-2.1631873210171e-14
-6.115766143200	-1.3691498867160e-14
-6.085786897400	-7.7839993559490e-15
-6.055807651600	-2.0606748294990e-14
-6.025828405800	-1.8730248450252e-14
-5.995849160000	-1.0668249117305e-14
-5.965869914200	-7.1237494105783e-15
-5.935890668400	-1.4733998780903e-14
-5.905911422600	-9.1739992409399e-15
-5.875932176800	-4.7259996089690e-15
-5.845952931000	-4.5174996262204e-15
-5.815973685200	-1.5011998757902e-14
-5.785994439400	-7.2279994019526e-15
-5.756015193600	-1.5776498694647e-14
-5.726035947800	-1.3969498844158e-14
-5.696056702000	-2.3282498073597e-14
-5.666077456200	-1.8347998481880e-14
-5.636098210400	-1.5984998677395e-14
-5.606118964600	-1.0285999148933e-14
-5.576139718800	-1.8208998493381e-14
-5.546160473000	-1.0841999102929e-14
-5.516181227200	-1.1119999079927e-14
-5.486201981400	-1.0702999114430e-14
-5.456222735600	-1.2857498936166e-14
-5.426243489800	-8.3399993099454e-15
-5.396264244000	-4.8649995974681e-15
-5.366284998200	-4.2394996492222e-15
-5.336305752400	-7.7839993559490e-15
-5.306326506600	-9.5909992064372e-15
-5.276347260800	-3.8919996779745e-15
-5.246368015000	-1.2648998953417e-14
-5.216388769200	-1.0563999125931e-14
-5.186409523400	-6.3939994709581e-15
-5.156430277600	4.1699996549727e-16
-5.126451031800	-9.1739992409399e-15
-5.096471786000	-6.6719994479563e-15
-5.066492540200	-1.3343998895913e-14
-5.036513294400	-8.4789992984445e-15
-5.006534048600	-2.7799997699818e-15
-4.976554802800	-5.8379995169618e-15
-4.946575557000	-6.8109994364554e-15
-4.916596311200	-9.5909992064372e-15
-4.886617065400	1.2509998964918e-15
-4.856637819600	-2.5019997929836e-15
-4.826658573800	-4.8649995974681e-15
-4.796679328000	3.4749997124772e-15
-4.766700082200	5.1429995744663e-15
-4.736720836400	6.1159994939599e-15
-4.706741590600	2.7799997699818e-15
-4.676762344800	1.9737998366871e-14
-4.646783099000	6.3939994709581e-15
-4.616803853200	1.1119999079927e-14
-4.586824607400	4.1699996549727e-15
-4.556845361600	8.2009993214463e-15
-4.526866115800	2.6409997814827e-15
-4.496886870000	8.8959992639417e-15
-4.466907624200	5.2819995629654e-15
-4.436928378400	1.3482998884412e-14
-4.406949132600	3.6139997009763e-15
-4.376969886800	1.0007999171934e-14
-4.346990641000	2.7799997699818e-16
-4.317011395200	6.2549994824590e-15
-4.287032149400	5.0039995859672e-15
-4.257052903600	2.3629998044845e-15
-4.227073657800	8.3399993099454e-16
-4.197094412000	1.2857498936166e-14
-4.167115166200	5.4209995514645e-15
-4.137135920400	4.6564996147195e-15
-4.107156674600	6.9499994249545e-16
-4.077177428800	1.2857498936166e-14
-4.047198183000	1.5289998734900e-14
-4.017218937200	9.3824992236885e-15
-3.987239691400	9.7994991891858e-15
-3.957260445600	1.8486998470379e-14
-3.927281199800	4.5869996204699e-15
-3.897301954000	1.1467499051175e-14
-3.867322708200	7.7144993616995e-15
-3.837343462400	7.9229993444481e-15
-3.807364216600	2.9884997527304e-15
-3.777384970800	1.7652998539384e-14
-3.747405725000	3.8919996779745e-15
-3.717426479200	1.5776498694647e-14
-3.687447233400	-4.8649995974681e-16
-3.657467987600	5.0734995802168e-15
-3.627488741800	3.2317497326038e-15
-3.597509496000	1.5046748755026e-14
-3.567530250200	4.1004996607231e-15
-3.537551004400	1.0112249163309e-14
-3.507571758600	8.6527492840683e-15
-3.477592512800	7.2801243976398e-15
-3.447613267000	2.3629998044845e-15
-3.417634021200	8.6701242826307e-15
-3.387654775400	5.0734995802168e-15
-3.357675529600	1.5950248680271e-14
-3.327696283800	1.3109436415320e-14
-3.297717038000	1.9212404660359e-14
-3.267737792200	2.0858685774145e-14
-3.237758546400	2.7048529011995e-14
-3.207779300600	1.2779311442635e-14
-3.177800054800	4.4671121303895e-14
-3.147820809000	5.1047745776291e-14
-3.117841563200	9.8881116818540e-14
-3.087862317400	1.5250036238206e-13
-3.057883071600	2.7740922704706e-13
-3.027903825800	4.6158421180835e-13
-2.997924580000	8.1672918242352e-13
-2.967945334200	1.4298233816959e-12
-2.937966088400	2.5373057900624e-12
-2.907986842600	4.4637413806684e-12
-2.878007596800	7.8158651033124e-12
-2.848028351000	1.3606013874233e-11
-2.818049105200	2.3611511046375e-11
-2.788069859400	4.0737908129330e-11
-2.758090613600	6.9923805214478e-11
-2.728111367800	1.1937034062325e-10
-2.698132122000	2.0274239472502e-10
-2.668152876200	3.4244169216625e-10
-2.638173630400	5.7530448089909e-10
-2.608194384600	9.6131259196064e-10
-2.578215138800	1.5976552343094e-09
-2.548235893000	2.6409426524874e-09
-2.518256647200	4.3420425122378e-09
-2.488277401400	7.1004986045021e-09
-2.458298155600	1.1549070777426e-08
-2.428318909800	1.8683904116587e-08
-2.398339664000	3.0064485223953e-08
-2.368360418200	4.8118054277694e-08
-2.338381172400	7.6600585150039e-08
-2.308401926600	1.2129091402834e-07
-2.278422680800	1.9102885123820e-07
-2.248443435000	2.9925859798723e-07
-2.218464189200	4.6630907314641e-07
-2.188484943400	7.2274186044007e-07
-2.158505697600	1.1142364802187e-06
-2.128526451800	1.7086737015487e-06
-2.098547206000	2.6063417566193e-06
-2.068567960200	3.9545493583811e-06
-2.038588714400	5.9684161719370e-06
-2.008609468600	8.9602637439775e-06
-1.978630222800	1.3380900017661e-05
-1.948650977000	1.9877237984261e-05
-1.918671731200	2.9372193453123e-05
-1.888692485400	4.3174758315510e-05
-1.858713239600	6.3130658854536e-05
-1.828733993800	9.1827212191404e-05
-1.798754748000	1.3287004247172e-04
-1.768775502200	1.9125438457881e-04
-1.738796256400	2.7385997934286e-04
-1.708817010600	3.9010626002146e-04
-1.678837764800	5.5281386416787e-04
-1.648858519000	7.7932969643602e-04
-1.618879273200	1.0929860278961e-03
-1.588900027400	1.5249796216290e-03
-1.558920781600	2.1167747566898e-03
-1.528941535800	2.9231543317981e-03
-1.498962290000	4.0160659136365e-03
-1.468983044200	5.4894344498836e-03
-1.439003798400	7.4651400132570e-03
-1.409024552600	1.0100386768957e-02
-1.379045306800	1.3596717493547e-02
-1.349066061000	1.8210955240520e-02
-1.319086815200	2.4268378641043e-02
-1.289107569400	3.2178457988396e-02
-1.259128323600	4.2453493474763e-02
-1.229149077800	5.5730502189042e-02
-1.199169832000	7.2796693925443e-02
-1.169190586200	9.4618854470415e-02
-1.139211340400	1.2237691572287e-01
-1.109232094600	1.5750193171533e-01
-1.079252848800	2.0171859555505e-01
-1.049273603000	2.5709232218661e-01
-1.019294357200	3.2608078411115e-01
-0.989315111400	4.1158962120036e-01
-0.959335865600	5.1703185219737e-01
-0.929356619800	6.4639029660252e-01
-0.899377374000	8.0428207533820e-01
-0.869398128200	9.9602400270591e-01
-0.839418882400	1.2276974184954e+00
-0.809439636600	1.5062107474274e+00
-0.779460390800	1.8393578249474e+00
-0.749481145000	2.2358698067745e+00
-0.719501899200	2.7054582986494e+00
-0.689522653400	3.2588472170007e+00
-0.659543407600	3.9077908351306e+00
-0.629564161800	4.6650754963181e+00
-0.599584916000	5.5445025963812e+00
-0.569605670200	6.5608506622988e+00
-0.539626424400	7.7298146853866e+00
-0.509647178600	9.0679213076934e+00
-0.479667932800	1.0592419004129e+01
-0.449688687000	1.2321143040275e+01
-0.419709441200	1.4272355701264e+01
-0.389730195400	1.6464563059494e+01
-0.359750949600	1.8916310352509e+01
-0.329771703800	2.1645958847279e+01
-0.299792458000	2.4671447840806e+01
-0.269813212200	2.8010046155626e+01
-0.239833966400	3.1678098098731e+01
-0.209854720600	3.5690769332389e+01
-0.179875474800	4.0061798427580e+01
-0.149896229000	4.4803260013396e+01
-0.119916983200	4.9925345383673e+01
-0.089937737400	5.5436166168406e+01
-0.059958491600	6.1341586224209e+01
-0.029979245800	6.7645086256151e+01
0.000000000000	7.4347664872731e+01
0.029979245800	8.1447778824548e+01
0.059958491600	8.8941324120270e+01
0.089937737400	9.6821658590910e+01
0.119916983200	1.0507966532859e+02
0.149896229000	1.1370385530336e+02
0.179875474800	1.2268050640475e+02
0.209854720600	1.3199383520346e+02
0.239833966400	1.4162619691806e+02
0.269813212200	1.5155830842967e+02
0.299792458000	1.6176948873436e+02
0.329771703800	1.7223791096911e+02
0.359750949600	1.8294086009542e+02
0.389730195400	1.9385499046705e+02
0.419709441200	2.0495657783068e+02
0.449688687000	2.1622176078843e+02
0.479667932800	2.2762676736094e+02
0.509647178600	2.3914812299846e+02
0.539626424400	2.5076283716130e+02
0.569605670200	2.6244856639550e+02
0.599584916000	2.7418375263371e+02
0.629564161800	2.8594773622326e+02
0.659543407600	2.9772084389914e+02
0.689522653400	3.0948445255690e+02
0.719501899200	3.2122103022454e+02
0.749481145000	3.3291415607253e+02
0.779460390800	3.4454852163319e+02
0.809439636600	3.5610991562459e+02
0.839418882400	3.6758519489551e+02
0.869398128200	3.7896224403471e+02
0.899377374000	3.9022992613170e+02
0.929356619800	4.0137802705078e+02
0.959335865600	4.1239719539869e+02
0.989315111400	4.2327888014531e+02
1.019294357200	4.3401526760820e+02
1.049273603000	4.4459921925046e+02
1.079252848800	4.5502421147766e+02
1.109232094600	4.6528427836397e+02
1.139211340400	4.7537395799697e+02
1.169190586200	4.8528824291236e+02
1.199169832000	4.9502253489580e+02
1.229149077800	5.0457260426350e+02
1.259128323600	5.1393455359531e+02
1.289107569400	5.2310478578423e+02
1.319086815200	5.3207997618189e+02
1.349066061000	5.4085704855985e+02
1.379045306800	5.4943315456694e+02
1.409024552600	5.5780565634158e+02
1.439003798400	5.6597211193193e+02
1.468983044200	5.7393026318139e+02
1.498962290000	5.8167802575186e+02
1.528941535800	5.8921348097768e+02
1.558920781600	5.9653486926787e+02
1.588900027400	6.0364058480228e+02
1.618879273200	6.1052917129472e+02
1.648858519000	6.1719931862466e+02
1.678837764800	6.2364986016549e+02
1.708817010600	6.2987977066230e+02
1.738796256400	6.3588816453506e+02
1.768775502200	6.4167429450318e+02
1.798754748000	6.4723755044578e+02
1.828733993800	6.5257745842718e+02
1.858713239600	6.5769367983079e+02
1.888692485400	6.6258601055560e+02
1.918671731200	6.6725438023901e+02
1.948650977000	6.7169885147763e+02
1.978630222800	6.7591961902369e+02
2.008609468600	6.7991700894013e+02
2.038588714400	6.8369147770161e+02
2.068567960200	6.8724361123159e+02
2.098547206000	6.9057412386869e+02
2.128526451800	6.9368385725719e+02
2.158505697600	6.9657377915832e+02
2.188484943400	6.9924498218009e+02
2.218464189200	7.0169868242447e+02
2.248443435000	7.0393621805132e+02
2.278422680800	7.0595904775915e+02
2.308401926600	7.0776874918309e+02
2.338381172400	7.0936701721089e+02
2.368360418200	7.1075566221801e+02
2.398339664000	7.1193660822297e+02
2.428318909800	7.1291189096437e+02
2.458298155600	7.1368365590118e+02
2.488277401400	7.1425415613786e+02
2.518256647200	7.1462575027603e+02
2.548235893000	7.1480090019465e+02
2.578215138800	7.1478216876033e+02
2.608194384600	7.1457221747000e+02
2.638173630400	7.1417380402775e+02
2.668152876200	7.1358977985799e+02
2.698132122000	7.1282308755700e+02
2.728111367800	7.1187675828511e+02
2.758090613600	7.1075390910161e+02
2.788069859400	7.0945774024468e+02
2.818049105200	7.0799153235872e+02
2.848028351000	7.0635864367125e+02
2.878007596800	7.0456250712186e+02
2.907986842600	7.0260662744564e+02
2.937966088400	7.0049457821337e+02
2.967945334200	6.9822999883107e+02
2.997924580000	6.9581659150143e+02
3.027903825800	6.9325811814946e+02
3.057883071600	6.9055839731505e+02
3.087862317400	6.8772130101505e+02
3.117841563200	6.8475075157724e+02
3.147820809000	6.8165071844901e+02
3.177800054800	6.7842521498325e+02
3.207779300600	6.7507829520410e+02
3.237758546400	6.7161405055520e+02
3.267737792200	6.6803660663311e+02
3.297717038000	6.6435011990857e+02
3.327696283800	6.6055877443810e+02
3.357675529600	6.5666677856888e+02
3.387654775400	6.5267836163931e+02
3.417634021200	6.4859777067808e+02
3.447613267000	6.4442926710426e+02
3.477592512800	6.4017712343117e+02
3.507571758600	6.3584561997665e+02
3.537551004400	6.3143904158232e+02
3.567530250200	6.2696167434434e+02
3.597509496000	6.2241780235859e+02
3.627488741800	6.1781170448242e+02
3.657467987600	6.1314765111586e+02
3.687447233400	6.0842990100467e+02
3.717426479200	6.0366269806778e+02
3.747405725000	5.9885026825162e+02
3.777384970800	5.9399681641368e+02
3.807364216600	5.8910652323800e+02
3.837343462400	5.8418354218461e+02
3.867322708200	5.7923199647560e+02
3.897301954000	5.7425597611997e+02
3.927281199800	5.6925953497964e+02
3.957260445600	5.6424668787871e+02
3.987239691400	5.5922140775842e+02
4.017218937200	5.5418762287973e+02
4.047198183000	5.4914921407574e+02
4.077177428800	5.4411001205612e+02
4.107156674600	5.3907379476531e+02
4.137135920400	5.3404428479671e+02
4.167115166200	5.2902514686468e+02
4.197094412000	5.2401998533617e+02
4.227073657800	5.1903234182386e+02
4.257052903600	5.1406569284253e+02
4.287032149400	5.0912344753039e+02
4.317011395200	5.0420894543693e+02
4.346990641000	4.9932545437898e+02
4.376969886800	4.9447616836637e+02
4.406949132600	4.8966420559879e+02
4.436928378400	4.8489260653509e+02
4.466907624200	4.8016433203644e+02
4.496886870000	4.7548226158459e+02
4.526866115800	4.7084919157645e+02
4.556845361600	4.6626783369601e+02
4.586824607400	4.6174081336483e+02
4.616803853200	4.5727066827192e+02
4.646783099000	4.5285984698409e+02
4.676762344800	4.4851070763744e+02
4.706741590600	4.4422551671093e+02
4.736720836400	4.4000644788269e+02
4.766700082200	4.3585558096967e+02
4.796679328000	4.3177490095117e+02
4.826658573800	4.2776629707693e+02
4.856637819600	4.2383156205988e+02
4.886617065400	4.1997239135425e+02
4.916596311200	4.1619038251902e+02
4.946575557000	4.1248703466712e+02
4.976554802800	4.0886374800036e+02
5.006534048600	4.0532182343029e+02
5.036513294400	4.0186246228477e+02
5.066492540200	3.9848676610044e+02
5.096471786000	3.9519573650062e+02
5.126451031800	3.9199027515870e+02
5.156430277600	3.8887118384645e+02
5.186409523400	3.8583916456709e+02
5.216388769200	3.8289481977252e+02
5.246368015000	3.8003865266426e+02
5.276347260800	3.7727106757757e+02
5.306326506600	3.7459237044793e+02
5.336305752400	3.7200276935931e+02
5.366284998200	3.6950237517342e+02
5.396264244000	3.6709120223893e+02
5.426243489800	3.6476916918001e+02
5.456222735600	3.6253609976289e+02
5.486201981400	3.6039172383966e+02
5.516181227200	3.5833567836800e+02
5.546160473000	3.5636750850580e+02
5.576139718800	3.5448666877935e+02
5.606118964600	3.5269252432381e+02
5.636098210400	3.5098435219468e+02
5.666077456200	3.4936134274878e+02
5.696056702000	3.4782260109327e+02
5.726035947800	3.4636714860131e+02
5.756015193600	3.4499392449261e+02
5.785994439400	3.4370178747742e+02
5.815973685200	3.4248951746219e+02
5.845952931000	3.4135581731516e+02
5.875932176800	3.4029931469024e+02
5.905911422600	3.3931856390719e+02
5.935890668400	3.3841204788647e+02
5.965869914200	3.3757818013664e+02
5.995849160000	3.3681530679251e+02
6.025828405800	3.3612170870209e+02
6.055807651600	3.3549560356022e+02
6.085786897400	3.3493514808698e+02
6.115766143200	3.3443844024862e+02
6.145745389000	3.3400352151916e+02
6.175724634800	3.3362837918032e+02
6.205703880600	3.3331094865766e+02
6.235683126400	3.3304911589087e+02
6.265662372200	3.3284071973586e+02
6.295641618000	3.3268355439651e+02
6.325620863800	3.3257537188380e+02
6.355600109600	3.3251388450009e+02
6.385579355400	3.3249676734624e+02
6.415558601200	3.3252166084933e+02
6.445537847000	3.3258617330863e+02
6.475517092800	3.3268788345753e+02
6.505496338600	3.3282434303921e+02
6.535475584400	3.3299307939354e+02
6.565454830200	3.3319159805307e+02
6.595434076000	3.3341738534573e+02
6.625413321800	3.3366791100188e+02
6.655392567600	3.3394063076347e+02
6.685371813400	3.3423298899294e+02
6.715351059200	3.3454242127960e+02
6.745330305000	3.3486635704116e+02
6.775309550800	3.3520222211822e+02
6.805288796600	3.3554744135929e+02
6.835268042400	3.3589944119428e+02
6.865247288200	3.3625565219409e+02
6.895226534000	3.3661351161417e+02
6.925205779800	3.3697046591974e+02
6.955185025600	3.3732397329072e+02
6.985164271400	3.3767150610394e+02
7.015143517200	3.3801055339079e+02
7.045122763000	3.3833862326802e+02
7.075102008800	3.3865324533970e+02
7.105081254600	3.3895197306839e+02
7.135060500400	3.3923238611340e+02
7.165039746200	3.3949209263422e+02
7.195018992000	3.3972873155730e+02
7.224998237800	3.3993997480414e+02
7.254977483600	3.4012352947897e+02
7.284956729400	3.4027714001417e+02
7.314935975200	3.4039859027166e+02
7.344915221000	3.4048570559860e+02
7.374894466800	3.4053635483568e+02
7.404873712600	3.4054845227640e+02
7.434852958400	3.4051995957579e+02
7.464832204200	3.4044888760702e+02
7.494811450000	3.4033329826440e+02
