# Freq(GHz) Re(Zx/y) Im(Zx/y)
# Unit: Ohm/m
# Transverse offset used for normalization: 6.000000e+00 mm
1.300000e+00 1.572970e+00 6.385702e+00
1.310000e+00 1.578860e+00 6.369036e+00
1.320000e+00 1.584340e+00 6.352403e+00
1.330000e+00 1.589414e+00 6.335818e+00
1.340000e+00 1.594083e+00 6.319292e+00
1.350000e+00 1.598353e+00 6.302840e+00
1.360000e+00 1.602226e+00 6.286474e+00
1.370000e+00 1.605707e+00 6.270206e+00
1.380000e+00 1.608802e+00 6.254050e+00
1.390000e+00 1.611515e+00 6.238018e+00
1.400000e+00 1.613851e+00 6.222121e+00
1.410000e+00 1.615819e+00 6.206372e+00
1.420000e+00 1.617423e+00 6.190783e+00
1.430000e+00 1.618671e+00 6.175364e+00
1.440000e+00 1.619570e+00 6.160127e+00
1.450000e+00 1.620128e+00 6.145082e+00
1.460000e+00 1.620353e+00 6.130241e+00
1.470000e+00 1.620254e+00 6.115613e+00
1.480000e+00 1.619840e+00 6.101208e+00
1.490000e+00 1.619118e+00 6.087035e+00
1.500000e+00 1.618100e+00 6.073104e+00
1.510000e+00 1.616795e+00 6.059424e+00
1.520000e+00 1.615212e+00 6.046002e+00
1.530000e+00 1.613363e+00 6.032847e+00
1.540000e+00 1.611257e+00 6.019966e+00
1.550000e+00 1.608905e+00 6.007366e+00
1.560000e+00 1.606319e+00 5.995055e+00
1.570000e+00 1.603510e+00 5.983038e+00
1.580000e+00 1.600488e+00 5.971322e+00
1.590000e+00 1.597267e+00 5.959911e+00
1.600000e+00 1.593857e+00 5.948812e+00
1.610000e+00 1.590270e+00 5.938028e+00
1.620000e+00 1.586519e+00 5.927564e+00
1.630000e+00 1.582615e+00 5.917424e+00
1.640000e+00 1.578571e+00 5.907610e+00
1.650000e+00 1.574399e+00 5.898125e+00
1.660000e+00 1.570112e+00 5.888973e+00
1.670000e+00 1.565721e+00 5.880154e+00
1.680000e+00 1.561239e+00 5.871670e+00
1.690000e+00 1.556679e+00 5.863523e+00
1.700000e+00 1.552054e+00 5.855712e+00
1.710000e+00 1.547374e+00 5.848238e+00
1.720000e+00 1.542654e+00 5.841100e+00
1.730000e+00 1.537905e+00 5.834298e+00
1.740000e+00 1.533139e+00 5.827830e+00
1.750000e+00 1.528368e+00 5.821695e+00
1.760000e+00 1.523605e+00 5.815890e+00
1.770000e+00 1.518861e+00 5.810412e+00
1.780000e+00 1.514148e+00 5.805260e+00
1.790000e+00 1.509478e+00 5.800429e+00
1.800000e+00 1.504862e+00 5.795915e+00
1.810000e+00 1.500312e+00 5.791715e+00
1.820000e+00 1.495838e+00 5.787824e+00
1.830000e+00 1.491451e+00 5.784236e+00
1.840000e+00 1.487161e+00 5.780947e+00
1.850000e+00 1.482980e+00 5.777950e+00
1.860000e+00 1.478917e+00 5.775239e+00
1.870000e+00 1.474983e+00 5.772809e+00
1.880000e+00 1.471186e+00 5.770652e+00
1.890000e+00 1.467536e+00 5.768761e+00
1.900000e+00 1.464041e+00 5.767129e+00
1.910000e+00 1.460712e+00 5.765747e+00
1.920000e+00 1.457555e+00 5.764609e+00
1.930000e+00 1.454580e+00 5.763705e+00
1.940000e+00 1.451793e+00 5.763027e+00
1.950000e+00 1.449202e+00 5.762567e+00
1.960000e+00 1.446814e+00 5.762315e+00
1.970000e+00 1.444635e+00 5.762263e+00
1.980000e+00 1.442673e+00 5.762399e+00
1.990000e+00 1.440932e+00 5.762716e+00
2.000000e+00 1.439419e+00 5.763203e+00
2.010000e+00 1.438138e+00 5.763850e+00
2.020000e+00 1.437094e+00 5.764648e+00
2.030000e+00 1.436291e+00 5.765585e+00
2.040000e+00 1.435734e+00 5.766652e+00
2.050000e+00 1.435426e+00 5.767837e+00
2.060000e+00 1.435370e+00 5.769131e+00
2.070000e+00 1.435568e+00 5.770523e+00
2.080000e+00 1.436024e+00 5.772002e+00
2.090000e+00 1.436739e+00 5.773557e+00
2.100000e+00 1.437714e+00 5.775178e+00
2.110000e+00 1.438951e+00 5.776853e+00
2.120000e+00 1.440450e+00 5.778573e+00
2.130000e+00 1.442212e+00 5.780326e+00
2.140000e+00 1.444237e+00 5.782101e+00
2.150000e+00 1.446523e+00 5.783889e+00
2.160000e+00 1.449071e+00 5.785678e+00
2.170000e+00 1.451879e+00 5.787458e+00
2.180000e+00 1.454945e+00 5.789218e+00
2.190000e+00 1.458267e+00 5.790948e+00
2.200000e+00 1.461843e+00 5.792638e+00
2.210000e+00 1.465670e+00 5.794278e+00
2.220000e+00 1.469744e+00 5.795858e+00
2.230000e+00 1.474064e+00 5.797368e+00
2.240000e+00 1.478623e+00 5.798798e+00
2.250000e+00 1.483419e+00 5.800139e+00
2.260000e+00 1.488447e+00 5.801383e+00
2.270000e+00 1.493702e+00 5.802519e+00
2.280000e+00 1.499178e+00 5.803539e+00
