#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, x-plane
# beta_factor is dimensionless: sum(beta_i/<beta>)
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp_beta [V/pC/m]"
#------------------------
-8.064417120200	2.3907998021843e-14
-8.034437874400	3.0579997469800e-14
-8.004458628600	2.3768998033344e-14
-7.974479382800	1.6123998665894e-14
-7.944500137000	2.6965997768823e-14
-7.914520891200	1.9042998424375e-14
-7.884541645400	2.1405998228860e-14
-7.854562399600	9.7299991949363e-15
-7.824583153800	1.9181998412874e-14
-7.794603908000	2.5436997895333e-14
-7.764624662200	2.7104997757322e-14
-7.734645416400	1.5845998688896e-14
-7.704666170600	2.2517998136852e-14
-7.674686924800	6.3939994709581e-15
-7.644707679000	1.7652998539384e-14
-7.614728433200	1.3343998895913e-14
-7.584749187400	9.8689991834353e-15
-7.554769941600	1.8486998470379e-14
-7.524790695800	1.5706998700397e-14
-7.494811450000	1.5150998746401e-14
-7.464832204200	1.8069998504882e-14
-7.434852958400	1.1258999068426e-14
-7.404873712600	1.4038998838408e-14
-7.374894466800	8.4789992984445e-15
-7.344915221000	8.8959992639417e-15
-7.314935975200	1.7374998562386e-14
-7.284956729400	1.7096998585388e-14
-7.254977483600	5.6989995284627e-15
-7.224998237800	1.2926998930415e-14
-7.195018992000	0.0000000000000e+00
-7.165039746200	7.0889994134536e-15
-7.135060500400	-7.4364993847013e-15
-7.105081254600	9.0349992524408e-16
-7.075102008800	6.6719994479563e-15
-7.045122763000	9.5214992121876e-15
-7.015143517200	3.6139997009763e-15
-6.985164271400	1.3204998907413e-15
-6.955185025600	-1.0563999125931e-14
-6.925205779800	-3.4054997182277e-15
-6.895226534000	-1.1814999022423e-14
-6.865247288200	-1.2301498982169e-14
-6.835268042400	-3.6834996952259e-15
-6.805288796600	-6.8109994364554e-15
-6.775309550800	-6.5329994594572e-15
-6.745330305000	-1.0911499097179e-14
-6.715351059200	-3.6834996952259e-15
-6.685371813400	2.0154998332368e-15
-6.655392567600	-1.0424999137432e-14
-6.625413321800	1.3552498878661e-15
-6.595434076000	-2.7799997699818e-16
-6.565454830200	4.1004996607231e-15
