# Freq(GHz) Re(Z) Im(Z)
1.637909e+00 -3.556918e+04 2.542871e+06
1.650413e+00 3.426301e+04 2.516047e+06
1.662916e+00 9.991291e+04 2.490298e+06
1.675419e+00 1.622713e+05 2.465308e+06
1.687922e+00 2.216482e+05 2.440961e+06
1.700425e+00 2.782507e+05 2.417171e+06
1.712928e+00 3.321244e+05 2.393930e+06
1.725431e+00 3.837838e+05 2.371042e+06
1.737934e+00 4.334038e+05 2.348442e+06
1.750438e+00 4.810891e+05 2.326077e+06
1.762941e+00 5.268436e+05 2.303942e+06
1.775444e+00 5.710233e+05 2.281947e+06
1.787947e+00 6.137144e+05 2.260037e+06
1.800450e+00 6.549126e+05 2.239156e+06
1.812953e+00 6.946096e+05 2.218740e+06
1.825456e+00 7.331388e+05 2.198356e+06
1.837959e+00 7.705172e+05 2.177935e+06
1.850463e+00 8.067720e+05 2.157451e+06
1.862966e+00 8.418559e+05 2.136876e+06
1.875469e+00 8.759754e+05 2.116217e+06
1.887972e+00 9.091929e+05 2.095479e+06
1.900475e+00 9.414850e+05 2.074611e+06
1.912978e+00 9.728024e+05 2.053587e+06
1.925481e+00 1.003296e+06 2.032414e+06
1.937984e+00 1.033009e+06 2.011102e+06
1.950488e+00 1.061955e+06 1.989649e+06
1.962991e+00 1.090055e+06 1.968003e+06
1.975494e+00 1.117432e+06 1.946179e+06
1.987997e+00 1.144104e+06 1.924175e+06
2.000500e+00 1.170078e+06 1.901995e+06
2.013003e+00 1.195321e+06 1.879632e+06
2.025506e+00 1.219909e+06 1.857079e+06
2.038010e+00 1.243852e+06 1.834337e+06
2.050513e+00 1.267354e+06 1.811551e+06
2.063016e+00 1.290934e+06 1.789117e+06
2.075519e+00 1.313940e+06 1.766530e+06
2.088022e+00 1.336343e+06 1.743754e+06
2.100525e+00 1.358128e+06 1.720781e+06
2.113028e+00 1.379247e+06 1.697597e+06
2.125531e+00 1.399784e+06 1.674228e+06
2.138035e+00 1.419770e+06 1.650703e+06
2.150538e+00 1.439177e+06 1.627006e+06
2.163041e+00 1.457943e+06 1.603109e+06
2.175544e+00 1.476145e+06 1.579040e+06
2.188047e+00 1.493788e+06 1.554803e+06
2.200550e+00 1.510858e+06 1.530398e+06
2.213053e+00 1.527337e+06 1.505848e+06
2.225556e+00 1.543267e+06 1.481143e+06
2.238060e+00 1.558649e+06 1.456289e+06
2.250563e+00 1.573465e+06 1.431283e+06
2.263066e+00 1.587667e+06 1.406121e+06
2.275569e+00 1.601339e+06 1.380837e+06
2.288072e+00 1.614496e+06 1.355450e+06
2.300575e+00 1.627122e+06 1.329925e+06
2.313078e+00 1.639818e+06 1.303983e+06
2.325581e+00 1.652261e+06 1.277813e+06
2.338085e+00 1.664171e+06 1.251541e+06
2.350588e+00 1.675539e+06 1.225180e+06
2.363091e+00 1.686330e+06 1.198742e+06
2.375594e+00 1.696592e+06 1.172221e+06
2.388097e+00 1.706325e+06 1.145626e+06
2.400600e+00 1.715509e+06 1.118960e+06
2.413103e+00 1.724100e+06 1.092225e+06
2.425606e+00 1.732173e+06 1.065444e+06
2.438110e+00 1.739748e+06 1.038643e+06
2.450613e+00 1.746779e+06 1.011801e+06
2.463116e+00 1.753224e+06 9.849253e+05
2.475619e+00 1.759149e+06 9.580263e+05
2.488122e+00 1.764557e+06 9.311116e+05
2.500625e+00 1.769426e+06 9.041887e+05
2.513128e+00 1.773742e+06 8.772914e+05
2.525631e+00 1.777550e+06 8.504074e+05
2.538135e+00 1.780846e+06 8.235387e+05
2.550638e+00 1.783612e+06 7.966932e+05
2.563141e+00 1.785839e+06 7.696307e+05
2.575644e+00 1.787648e+06 7.419142e+05
2.588147e+00 1.788962e+06 7.142526e+05
2.600650e+00 1.789775e+06 6.866694e+05
2.613153e+00 1.790027e+06 6.591567e+05
2.625656e+00 1.789784e+06 6.317150e+05
2.638160e+00 1.789047e+06 6.043515e+05
2.650663e+00 1.787797e+06 5.770778e+05
2.663166e+00 1.785999e+06 5.499097e+05
2.675669e+00 1.783731e+06 5.228577e+05
2.688172e+00 1.780994e+06 4.959293e+05
2.700675e+00 1.777757e+06 4.691229e+05
2.713178e+00 1.773986e+06 4.424565e+05
2.725681e+00 1.769743e+06 4.159227e+05
2.738185e+00 1.765031e+06 3.895285e+05
2.750688e+00 1.759832e+06 3.632878e+05
2.763191e+00 1.754129e+06 3.372336e+05
2.775694e+00 1.747981e+06 3.113551e+05
2.788197e+00 1.741380e+06 2.856453e+05
2.800700e+00 1.734307e+06 2.601195e+05
2.813203e+00 1.726660e+06 2.347418e+05
2.825706e+00 1.718172e+06 2.092512e+05
2.838210e+00 1.709031e+06 1.837929e+05
2.850713e+00 1.699443e+06 1.585539e+05
2.863216e+00 1.689393e+06 1.335689e+05
2.875719e+00 1.678920e+06 1.088006e+05
2.888222e+00 1.668026e+06 8.425467e+04
2.900725e+00 1.656698e+06 5.994840e+04
2.913228e+00 1.644911e+06 3.590518e+04
2.925731e+00 1.632718e+06 1.210315e+04
2.938235e+00 1.620125e+06 -1.145248e+04
2.950738e+00 1.607135e+06 -3.472432e+04
2.963241e+00 1.593714e+06 -5.770312e+04
2.975744e+00 1.579907e+06 -8.041833e+04
2.988247e+00 1.565720e+06 -1.028654e+05
3.000750e+00 1.551137e+06 -1.250259e+05
3.013253e+00 1.536141e+06 -1.468756e+05
3.025756e+00 1.520779e+06 -1.684424e+05
3.038260e+00 1.505058e+06 -1.897202e+05
3.050763e+00 1.488985e+06 -2.106704e+05
3.063266e+00 1.472521e+06 -2.312907e+05
3.075769e+00 1.455432e+06 -2.514954e+05
3.088272e+00 1.437592e+06 -2.712265e+05
3.100775e+00 1.419355e+06 -2.906172e+05
3.113278e+00 1.400749e+06 -3.096624e+05
3.125781e+00 1.381817e+06 -3.283943e+05
3.138285e+00 1.362566e+06 -3.468078e+05
3.150788e+00 1.343001e+06 -3.648666e+05
3.163291e+00 1.323088e+06 -3.825681e+05
3.175794e+00 1.302867e+06 -3.999466e+05
3.188297e+00 1.282341e+06 -4.170003e+05
3.200800e+00 1.261499e+06 -4.337101e+05
3.213303e+00 1.240327e+06 -4.500552e+05
3.225806e+00 1.218861e+06 -4.660714e+05
3.238310e+00 1.197106e+06 -4.817583e+05
3.250813e+00 1.175066e+06 -4.970788e+05
3.263316e+00 1.152712e+06 -5.120294e+05
3.275819e+00 1.130076e+06 -5.266503e+05
3.288322e+00 1.107159e+06 -5.409419e+05
3.300825e+00 1.083947e+06 -5.548868e+05
3.313328e+00 1.060426e+06 -5.684682e+05
3.325831e+00 1.036616e+06 -5.816471e+05
3.338335e+00 1.012463e+06 -5.940425e+05
3.350838e+00 9.879970e+05 -6.059049e+05
3.363341e+00 9.632312e+05 -6.174019e+05
3.375844e+00 9.381815e+05 -6.285845e+05
3.388347e+00 9.128450e+05 -6.394564e+05
3.400850e+00 8.872006e+05 -6.500050e+05
3.413353e+00 8.612269e+05 -6.602197e+05
3.425856e+00 8.349496e+05 -6.701396e+05
3.438360e+00 8.083608e+05 -6.797710e+05
3.450863e+00 7.814328e+05 -6.891046e+05
3.463366e+00 7.541479e+05 -6.981234e+05
3.475869e+00 7.265243e+05 -7.068710e+05
3.488372e+00 6.985405e+05 -7.153640e+05
3.500875e+00 6.701572e+05 -7.235995e+05
3.513378e+00 6.413313e+05 -7.315790e+05
3.525881e+00 6.120827e+05 -7.393418e+05
3.538385e+00 5.823860e+05 -7.469025e+05
3.550888e+00 5.521827e+05 -7.542662e+05
3.563391e+00 5.214087e+05 -7.614459e+05
3.575894e+00 4.900879e+05 -7.684715e+05
3.588397e+00 4.583968e+05 -7.751901e+05
3.600900e+00 4.262912e+05 -7.815862e+05
3.613403e+00 3.934178e+05 -7.878906e+05
3.625906e+00 3.597557e+05 -7.941647e+05
3.638410e+00 3.252293e+05 -8.004442e+05
3.650913e+00 2.896878e+05 -8.067756e+05
3.663416e+00 2.529619e+05 -8.132189e+05
3.675919e+00 2.150346e+05 -8.198225e+05
3.688422e+00 1.757707e+05 -8.266459e+05
3.700925e+00 1.349153e+05 -8.337736e+05
3.713428e+00 9.215039e+04 -8.413386e+05
3.725931e+00 4.740568e+04 -8.494111e+05
3.738435e+00 4.076608e+02 -8.581113e+05
3.750938e+00 -4.935531e+04 -8.676419e+05
