#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Total transverse dipolar wake, x-plane
# RF/BPM beta factors are dimensionless: sum(beta_i/<beta>)
#"s / mm"	"W_perp_total [V/pC/m]"
#------------------------
1.310000000000	2.0798169317641e+04
1.340000000000	2.0744865905548e+04
1.370000000000	2.0701526386087e+04
1.400000000000	2.0666831405915e+04
1.430000000000	2.0639618944711e+04
1.460000000000	2.0618869642786e+04
1.490000000000	2.0603691248350e+04
1.520000000000	2.0593304398833e+04
1.550000000000	2.0587029451202e+04
1.580000000000	2.0584273590961e+04
1.610000000000	2.0584519360398e+04
1.640000000000	2.0587314370329e+04
1.670000000000	2.0592262190196e+04
1.700000000000	2.0599014371374e+04
1.730000000000	2.0607263531154e+04
1.760000000000	2.0616737407845e+04
1.790000000000	2.0627193788734e+04
1.820000000000	2.0638416210256e+04
1.850000000000	2.0650210332060e+04
1.880000000000	2.0662400892155e+04
1.910000000000	2.0674829157879e+04
1.940000000000	2.0687350796076e+04
1.970000000000	2.0699834094903e+04
2.000000000000	2.0712158478594e+04
2.030000000000	2.0724213264925e+04
2.060000000000	2.0735896622846e+04
2.090000000000	2.0747114694677e+04
2.120000000000	2.0757780853290e+04
2.150000000000	2.0767815069937e+04
2.180000000000	2.0777143372797e+04
2.210000000000	2.0785697380024e+04
2.240000000000	2.0793413894155e+04
2.270000000000	2.0800234547230e+04
2.300000000000	2.0806105488058e+04
2.330000000000	2.0810977104685e+04
2.360000000000	2.0814803776460e+04
2.390000000000	2.0817543651169e+04
2.420000000000	2.0819158443525e+04
2.450000000000	2.0819613251990e+04
2.480000000000	2.0818876391463e+04
2.510000000000	2.0816919239740e+04
2.540000000000	2.0813716096051e+04
2.570000000000	2.0809244050209e+04
2.600000000000	2.0803482861162e+04
2.630000000000	2.0796414843879e+04
2.660000000000	2.0788024763680e+04
2.690000000000	2.0778299737233e+04
2.720000000000	2.0767229139522e+04
2.750000000000	2.0754804516203e+04
2.780000000000	2.0741019500811e+04
2.810000000000	2.0725869736366e+04
2.840000000000	2.0709352800948e+04
2.870000000000	2.0691468136887e+04
2.900000000000	2.0672216983225e+04
2.930000000000	2.0651602311172e+04
2.960000000000	2.0629628762276e+04
2.990000000000	2.0606302589075e+04
3.020000000000	2.0581631598014e+04
3.050000000000	2.0555625094439e+04
3.080000000000	2.0528293829484e+04
3.110000000000	2.0499649948697e+04
3.140000000000	2.0469706942266e+04
3.170000000000	2.0438479596707e+04
3.200000000000	2.0405983947897e+04
3.230000000000	2.0372237235359e+04
3.260000000000	2.0337257857678e+04
3.290000000000	2.0301065328985e+04
3.320000000000	2.0263680236410e+04
3.350000000000	2.0225124198449e+04
3.380000000000	2.0185419824158e+04
3.410000000000	2.0144590673145e+04
3.440000000000	2.0102661216269e+04
3.470000000000	2.0059656797039e+04
3.500000000000	2.0015603593629e+04
3.530000000000	1.9970528581501e+04
3.560000000000	1.9924459496587e+04
3.590000000000	1.9877424798991e+04
3.620000000000	1.9829453637204e+04
3.650000000000	1.9780575812784e+04
3.680000000000	1.9730821745492e+04
3.710000000000	1.9680222438858e+04
3.740000000000	1.9628809446169e+04
3.770000000000	1.9576614836844e+04
3.800000000000	1.9523671163209e+04
3.830000000000	1.9470011427633e+04
3.860000000000	1.9415669050038e+04
3.890000000000	1.9360677835766e+04
3.920000000000	1.9305071943788e+04
3.950000000000	1.9248885855270e+04
3.980000000000	1.9192154342467e+04
4.010000000000	1.9134912437967e+04
4.040000000000	1.9077195404262e+04
4.070000000000	1.9019038703663e+04
4.100000000000	1.8960477968547e+04
4.130000000000	1.8901548971938e+04
4.160000000000	1.8842287598437e+04
4.190000000000	1.8782729815478e+04
4.220000000000	1.8722911644950e+04
4.250000000000	1.8662869135143e+04
4.280000000000	1.8602638333068e+04
4.310000000000	1.8542255257121e+04
4.340000000000	1.8481755870112e+04
4.370000000000	1.8421176052664e+04
4.400000000000	1.8360551576981e+04
4.430000000000	1.8299918080994e+04
4.460000000000	1.8239311042893e+04
4.490000000000	1.8178765756043e+04
4.520000000000	1.8118317304301e+04
4.550000000000	1.8058000537725e+04
4.580000000000	1.7997850048700e+04
4.610000000000	1.7937900148461e+04
4.640000000000	1.7878184844049e+04
4.670000000000	1.7818737815679e+04
4.700000000000	1.7759592394544e+04
4.730000000000	1.7700781541049e+04
4.760000000000	1.7642337823490e+04
4.790000000000	1.7584293397182e+04
4.820000000000	1.7526679984038e+04
4.850000000000	1.7469528852608e+04
4.880000000000	1.7412870798588e+04
4.910000000000	1.7356736125801e+04
4.940000000000	1.7301154627655e+04
4.970000000000	1.7246155569094e+04
