# Freq(GHz) Re(Z) Im(Z)
1.637909e+00 2.286474e+05 9.643519e+05
1.650413e+00 2.455792e+05 9.568212e+05
1.662916e+00 2.614870e+05 9.495868e+05
1.675419e+00 2.765692e+05 9.425439e+05
1.687922e+00 2.909035e+05 9.356629e+05
1.700425e+00 3.045461e+05 9.289273e+05
1.712928e+00 3.175417e+05 9.223680e+05
1.725431e+00 3.299820e+05 9.158983e+05
1.737934e+00 3.419108e+05 9.095018e+05
1.750438e+00 3.533544e+05 9.031653e+05
1.762941e+00 3.643393e+05 8.969131e+05
1.775444e+00 3.749434e+05 8.907112e+05
1.787947e+00 3.851743e+05 8.845313e+05
1.800450e+00 3.949587e+05 8.783836e+05
1.812953e+00 4.043357e+05 8.722518e+05
1.825456e+00 4.134563e+05 8.661654e+05
1.837959e+00 4.222885e+05 8.600702e+05
1.850463e+00 4.308394e+05 8.539606e+05
1.862966e+00 4.390971e+05 8.478291e+05
1.875469e+00 4.471237e+05 8.416877e+05
1.887972e+00 4.549502e+05 8.355530e+05
1.900475e+00 4.625451e+05 8.293867e+05
1.912978e+00 4.698962e+05 8.231820e+05
1.925481e+00 4.770412e+05 8.169409e+05
1.937984e+00 4.840042e+05 8.106785e+05
1.950488e+00 4.907967e+05 8.044027e+05
1.962991e+00 4.973776e+05 7.980790e+05
1.975494e+00 5.037780e+05 7.917117e+05
1.987997e+00 5.100022e+05 7.852997e+05
2.000500e+00 5.160623e+05 7.788540e+05
2.013003e+00 5.219626e+05 7.723857e+05
2.025506e+00 5.276991e+05 7.658704e+05
2.038010e+00 5.332748e+05 7.593078e+05
2.050513e+00 5.386756e+05 7.527207e+05
2.063016e+00 5.438608e+05 7.461732e+05
2.075519e+00 5.489318e+05 7.396166e+05
2.088022e+00 5.538524e+05 7.330125e+05
2.100525e+00 5.586190e+05 7.263596e+05
2.113028e+00 5.632195e+05 7.196538e+05
2.125531e+00 5.676748e+05 7.129018e+05
2.138035e+00 5.720124e+05 7.061304e+05
2.150538e+00 5.762157e+05 6.993258e+05
2.163041e+00 5.802590e+05 6.924712e+05
2.175544e+00 5.841620e+05 6.855734e+05
2.188047e+00 5.879256e+05 6.786334e+05
2.200550e+00 5.915484e+05 6.716534e+05
2.213053e+00 5.950501e+05 6.646627e+05
2.225556e+00 5.984147e+05 6.576331e+05
2.238060e+00 6.016427e+05 6.505657e+05
2.250563e+00 6.047295e+05 6.434603e+05
2.263066e+00 6.076634e+05 6.363152e+05
2.275569e+00 6.104732e+05 6.291473e+05
2.288072e+00 6.131733e+05 6.219719e+05
2.300575e+00 6.157356e+05 6.147675e+05
2.313078e+00 6.181882e+05 6.076045e+05
2.325581e+00 6.205245e+05 6.004451e+05
2.338085e+00 6.227275e+05 5.932595e+05
2.350588e+00 6.248043e+05 5.860602e+05
2.363091e+00 6.267538e+05 5.788574e+05
2.375594e+00 6.285708e+05 5.716335e+05
2.388097e+00 6.302558e+05 5.643901e+05
2.400600e+00 6.318037e+05 5.571284e+05
2.413103e+00 6.332033e+05 5.498487e+05
2.425606e+00 6.344781e+05 5.425614e+05
2.438110e+00 6.356481e+05 5.352882e+05
2.450613e+00 6.366820e+05 5.280040e+05
2.463116e+00 6.375691e+05 5.207104e+05
2.475619e+00 6.383262e+05 5.134103e+05
2.488122e+00 6.389537e+05 5.061055e+05
2.500625e+00 6.394463e+05 4.987979e+05
2.513128e+00 6.398199e+05 4.915153e+05
2.525631e+00 6.400699e+05 4.842391e+05
2.538135e+00 6.401918e+05 4.769660e+05
2.550638e+00 6.401805e+05 4.696981e+05
2.563141e+00 6.400582e+05 4.624412e+05
2.575644e+00 6.398974e+05 4.552021e+05
2.588147e+00 6.396183e+05 4.479820e+05
2.600650e+00 6.392294e+05 4.407969e+05
2.613153e+00 6.386998e+05 4.336286e+05
2.625656e+00 6.380457e+05 4.264774e+05
2.638160e+00 6.372675e+05 4.193450e+05
2.650663e+00 6.363606e+05 4.122344e+05
2.663166e+00 6.353159e+05 4.051495e+05
2.675669e+00 6.341632e+05 3.981035e+05
2.688172e+00 6.329035e+05 3.910985e+05
2.700675e+00 6.315178e+05 3.841234e+05
2.713178e+00 6.299979e+05 3.771827e+05
2.725681e+00 6.283591e+05 3.702746e+05
2.738185e+00 6.266022e+05 3.634009e+05
2.750688e+00 6.247226e+05 3.565651e+05
2.763191e+00 6.227259e+05 3.497853e+05
2.775694e+00 6.206275e+05 3.430593e+05
2.788197e+00 6.184146e+05 3.363751e+05
2.800700e+00 6.160829e+05 3.297364e+05
2.813203e+00 6.136332e+05 3.231388e+05
2.825706e+00 6.111147e+05 3.165359e+05
2.838210e+00 6.085091e+05 3.099533e+05
2.850713e+00 6.057954e+05 3.034303e+05
2.863216e+00 6.029796e+05 2.969848e+05
2.875719e+00 6.000568e+05 2.905933e+05
2.888222e+00 5.970279e+05 2.842573e+05
2.900725e+00 5.938891e+05 2.779812e+05
2.913228e+00 5.906346e+05 2.717707e+05
2.925731e+00 5.872775e+05 2.656206e+05
2.938235e+00 5.838193e+05 2.595321e+05
2.950738e+00 5.802754e+05 2.535291e+05
2.963241e+00 5.766262e+05 2.476034e+05
2.975744e+00 5.728795e+05 2.417436e+05
2.988247e+00 5.690366e+05 2.359511e+05
3.000750e+00 5.650939e+05 2.302304e+05
3.013253e+00 5.610465e+05 2.245878e+05
3.025756e+00 5.569068e+05 2.190161e+05
3.038260e+00 5.526777e+05 2.135184e+05
