#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Total transverse dipolar wake, y-plane
# RF/BPM beta factors are dimensionless: sum(beta_i/<beta>)
#"s / mm"	"W_perp_total [V/pC/m]"
#------------------------
-6.340000000000	2.5614505478227e-13
-6.310000000000	-6.6421653272156e-13
-6.280000000000	-6.9199913570829e-13
-6.250000000000	-7.7825977879768e-13
-6.220000000000	-2.8374698327828e-13
-6.190000000000	-3.8361732126407e-13
-6.160000000000	-5.8997378301507e-13
-6.130000000000	-1.4700489674285e-13
-6.100000000000	-6.1521194781603e-13
-6.070000000000	-2.2041049425473e-13
-6.040000000000	-1.1539963778549e-12
-6.010000000000	-8.4479167440201e-13
-5.980000000000	-9.7499251934262e-13
-5.950000000000	-6.8725307577276e-14
-5.920000000000	-5.5856411441198e-13
-5.890000000000	-8.4159699830867e-13
-5.860000000000	-1.1449646804918e-12
-5.830000000000	-1.3556483471070e-12
-5.800000000000	-1.1712314406849e-12
-5.770000000000	-7.0786907329500e-13
-5.740000000000	-4.3100955341175e-13
-5.710000000000	-8.0162428415958e-13
-5.680000000000	-1.2835071873513e-12
-5.650000000000	-8.4089394379130e-13
-5.620000000000	-3.7063447747529e-13
-5.590000000000	-6.4919361728999e-13
-5.560000000000	-9.1267224609812e-13
-5.530000000000	-7.4422631778985e-13
-5.500000000000	-1.3004982962205e-12
-5.470000000000	-7.8821455110813e-13
-5.440000000000	-1.1082616498472e-12
-5.410000000000	-5.3024026939367e-13
-5.380000000000	-7.7871348478576e-13
-5.350000000000	-1.2282283746122e-12
-5.320000000000	-1.5702464420942e-12
-5.290000000000	-1.2723818575234e-12
-5.260000000000	-5.7969407754248e-13
-5.230000000000	-9.3574742840703e-13
-5.200000000000	-9.2460581331081e-13
-5.170000000000	-7.0108408362330e-13
-5.140000000000	-2.8750204037303e-13
-5.110000000000	-5.0396346834872e-13
-5.080000000000	-6.9209242281911e-13
-5.050000000000	-7.5835864691324e-13
-5.020000000000	-8.3706682239300e-13
-4.990000000000	-7.5315519314668e-13
-4.960000000000	-6.0962027615968e-13
-4.930000000000	-4.2063912862125e-13
-4.900000000000	-3.9693621951331e-13
-4.870000000000	-5.4575115067813e-13
-4.840000000000	-7.2612763286415e-13
-4.810000000000	-5.6410734807845e-13
-4.780000000000	-5.4448504775885e-13
-4.750000000000	-2.0888800891288e-13
-4.720000000000	-2.1178119039994e-13
-4.690000000000	-4.5119579018229e-13
-4.660000000000	1.4642653016397e-13
-4.630000000000	3.1512344911036e-13
-4.600000000000	4.3890704279819e-13
-4.570000000000	4.3489574627371e-13
-4.540000000000	-3.6010099007225e-13
-4.510000000000	1.8588620836183e-13
-4.480000000000	-1.4298271628757e-13
-4.450000000000	-2.4069067224197e-13
-4.420000000000	6.6087255069448e-13
-4.390000000000	2.9011139399683e-14
-4.360000000000	-5.4861396987769e-14
-4.330000000000	6.3481031285934e-13
-4.300000000000	9.8871163372739e-13
-4.270000000000	7.0603318850779e-13
-4.240000000000	1.4964023361902e-12
-4.210000000000	4.8590178079977e-13
-4.180000000000	4.9990951592907e-13
-4.150000000000	1.0819003887863e-12
-4.120000000000	7.8279430122290e-13
-4.090000000000	1.0506157808723e-12
-4.060000000000	9.2073800127739e-13
-4.030000000000	4.2726505215728e-13
-4.000000000000	1.0539633953782e-13
-3.970000000000	8.7001515462515e-13
-3.940000000000	7.5363432584019e-13
-3.910000000000	5.4669103682993e-13
-3.880000000000	5.3233317173975e-13
-3.850000000000	3.5421429324029e-13
-3.820000000000	3.7278393874911e-13
-3.790000000000	3.3281815552015e-13
-3.760000000000	8.4053681462386e-13
-3.730000000000	-7.5250223683244e-14
-3.700000000000	6.0180952840530e-13
-3.670000000000	6.4191311976798e-13
-3.640000000000	2.6159209497002e-13
-3.610000000000	8.0590861836642e-13
-3.580000000000	1.1424279757910e-12
-3.550000000000	1.3707250915522e-12
-3.520000000000	3.2410791500291e-13
-3.490000000000	8.9538696394761e-13
-3.460000000000	5.0326256761985e-13
-3.430000000000	4.6713363000781e-13
-3.400000000000	1.5799011762072e-12
-3.370000000000	3.2064053418751e-12
-3.340000000000	7.3643834774165e-12
-3.310000000000	1.3285681060327e-11
-3.280000000000	2.5705574419546e-11
-3.250000000000	4.7516344278538e-11
-3.220000000000	8.7905529579047e-11
-3.190000000000	1.6071088406072e-10
-3.160000000000	2.9339896030625e-10
-3.130000000000	5.3449621319083e-10
-3.100000000000	9.6671296647071e-10
-3.070000000000	1.7428532091353e-09
-3.040000000000	3.1226966109480e-09
-3.010000000000	5.5668206500866e-09
-2.980000000000	9.8643620924140e-09
-2.950000000000	1.7385966870002e-08
-2.920000000000	3.0470227083800e-08
-2.890000000000	5.3103692126245e-08
-2.860000000000	9.2034455183898e-08
-2.830000000000	1.5861362048644e-07
-2.800000000000	2.7183014058828e-07
-2.770000000000	4.6325918865746e-07
-2.740000000000	7.8508622947467e-07
-2.710000000000	1.3230540461872e-06
-2.680000000000	2.2172032492515e-06
-2.650000000000	3.6948806020997e-06
-2.620000000000	6.1229692366589e-06
-2.590000000000	1.0089984532748e-05
-2.560000000000	1.6534285422645e-05
-2.530000000000	2.6943044470557e-05
-2.500000000000	4.3659033383657e-05
-2.470000000000	7.0350561716105e-05
-2.440000000000	1.1272671967031e-04
-2.410000000000	1.7961881612277e-04
-2.380000000000	2.8460483583258e-04
-2.350000000000	4.4843347390842e-04
-2.320000000000	7.0261737921748e-04
-2.290000000000	1.0947240925858e-03
-2.260000000000	1.6961146136634e-03
-2.230000000000	2.6131855768070e-03
-2.200000000000	4.0035904791128e-03
-2.170000000000	6.0994852096963e-03
-2.140000000000	9.2406103241740e-03
-2.110000000000	1.3921045983283e-02
-2.080000000000	2.0854828145482e-02
-2.050000000000	3.1067384841798e-02
-2.020000000000	4.6022045013848e-02
-1.990000000000	6.7793813367407e-02
-1.960000000000	9.9306334603467e-02
-1.930000000000	1.4465264739426e-01
-1.900000000000	2.0952612270323e-01
-1.870000000000	3.0179506827956e-01
-1.840000000000	4.3226303197206e-01
