# Freq(GHz) Re(Z) Im(Z)
1.300000e+00 -1.906172e+01 7.530543e+02
1.310000e+00 -1.980085e+01 7.593393e+02
1.320000e+00 -2.053998e+01 7.656243e+02
1.330000e+00 -2.127911e+01 7.719094e+02
1.340000e+00 -2.201825e+01 7.781944e+02
1.350000e+00 -2.275738e+01 7.844794e+02
1.360000e+00 -2.349651e+01 7.907644e+02
1.370000e+00 -2.423564e+01 7.970495e+02
1.380000e+00 -2.497477e+01 8.033345e+02
1.390000e+00 -2.571391e+01 8.096195e+02
1.400000e+00 -2.645304e+01 8.159045e+02
1.410000e+00 -2.719217e+01 8.221896e+02
1.420000e+00 -2.793130e+01 8.284746e+02
1.430000e+00 -2.867043e+01 8.347596e+02
1.440000e+00 -2.940956e+01 8.410447e+02
1.450000e+00 -3.014870e+01 8.473297e+02
1.460000e+00 -3.088783e+01 8.536147e+02
1.470000e+00 -3.162696e+01 8.598997e+02
1.480000e+00 -3.236609e+01 8.661848e+02
1.490000e+00 -3.310522e+01 8.724698e+02
1.500000e+00 -3.384436e+01 8.787548e+02
1.510000e+00 -3.458349e+01 8.850398e+02
1.520000e+00 -3.532262e+01 8.913249e+02
1.530000e+00 -3.606175e+01 8.976099e+02
1.540000e+00 -3.681657e+01 9.040986e+02
1.550000e+00 -3.761615e+01 9.111689e+02
1.560000e+00 -3.841574e+01 9.182392e+02
1.570000e+00 -3.921532e+01 9.253094e+02
1.580000e+00 -4.001490e+01 9.323797e+02
1.590000e+00 -4.081449e+01 9.394499e+02
1.600000e+00 -4.161407e+01 9.465202e+02
1.610000e+00 -4.241366e+01 9.535904e+02
1.620000e+00 -4.321324e+01 9.606607e+02
1.630000e+00 -4.401282e+01 9.677309e+02
1.640000e+00 -4.481241e+01 9.748012e+02
1.650000e+00 -4.561199e+01 9.818714e+02
1.660000e+00 -4.641158e+01 9.889417e+02
1.670000e+00 -4.721116e+01 9.960120e+02
1.680000e+00 -4.801074e+01 1.003082e+03
1.690000e+00 -4.881033e+01 1.010152e+03
1.700000e+00 -4.960991e+01 1.017223e+03
1.710000e+00 -5.040950e+01 1.024293e+03
1.720000e+00 -5.120908e+01 1.031363e+03
1.730000e+00 -5.200866e+01 1.038433e+03
1.740000e+00 -5.280825e+01 1.045504e+03
1.750000e+00 -5.360783e+01 1.052574e+03
1.760000e+00 -5.440742e+01 1.059644e+03
1.770000e+00 -5.520700e+01 1.066715e+03
1.780000e+00 -5.600658e+01 1.073785e+03
1.790000e+00 -5.680617e+01 1.080855e+03
1.800000e+00 -5.723805e+01 1.088537e+03
1.810000e+00 -5.745951e+01 1.096570e+03
1.820000e+00 -5.768097e+01 1.104603e+03
1.830000e+00 -5.790244e+01 1.112636e+03
1.840000e+00 -5.812390e+01 1.120669e+03
1.850000e+00 -5.834536e+01 1.128701e+03
1.860000e+00 -5.856683e+01 1.136734e+03
1.870000e+00 -5.878829e+01 1.144767e+03
1.880000e+00 -5.900976e+01 1.152800e+03
1.890000e+00 -5.923122e+01 1.160833e+03
1.900000e+00 -5.945268e+01 1.168865e+03
1.910000e+00 -5.967415e+01 1.176898e+03
1.920000e+00 -5.989561e+01 1.184931e+03
1.930000e+00 -6.011707e+01 1.192964e+03
1.940000e+00 -6.033854e+01 1.200997e+03
1.950000e+00 -6.056000e+01 1.209029e+03
1.960000e+00 -6.078146e+01 1.217062e+03
1.970000e+00 -6.100293e+01 1.225095e+03
1.980000e+00 -6.122439e+01 1.233128e+03
1.990000e+00 -6.144586e+01 1.241161e+03
2.000000e+00 -6.166732e+01 1.249193e+03
2.010000e+00 -6.188878e+01 1.257226e+03
2.020000e+00 -6.211025e+01 1.265259e+03
2.030000e+00 -6.233171e+01 1.273292e+03
2.040000e+00 -6.255317e+01 1.281325e+03
2.050000e+00 -6.275810e+01 1.289365e+03
2.060000e+00 -6.166824e+01 1.297979e+03
2.070000e+00 -6.057839e+01 1.306593e+03
2.080000e+00 -5.948853e+01 1.315207e+03
2.090000e+00 -5.839867e+01 1.323820e+03
2.100000e+00 -5.730881e+01 1.332434e+03
2.110000e+00 -5.621896e+01 1.341048e+03
2.120000e+00 -5.512910e+01 1.349662e+03
2.130000e+00 -5.403924e+01 1.358276e+03
2.140000e+00 -5.294939e+01 1.366890e+03
2.150000e+00 -5.185953e+01 1.375504e+03
2.160000e+00 -5.076967e+01 1.384118e+03
2.170000e+00 -4.967982e+01 1.392732e+03
2.180000e+00 -4.858996e+01 1.401346e+03
2.190000e+00 -4.750010e+01 1.409960e+03
2.200000e+00 -4.641024e+01 1.418574e+03
2.210000e+00 -4.532039e+01 1.427188e+03
2.220000e+00 -4.423053e+01 1.435801e+03
2.230000e+00 -4.314067e+01 1.444415e+03
2.240000e+00 -4.205082e+01 1.453029e+03
2.250000e+00 -4.096096e+01 1.461643e+03
2.260000e+00 -3.987110e+01 1.470257e+03
2.270000e+00 -3.878125e+01 1.478871e+03
2.280000e+00 -3.769139e+01 1.487485e+03
2.290000e+00 -3.660153e+01 1.496099e+03
2.300000e+00 -3.551168e+01 1.504713e+03
2.310000e+00 -3.377831e+01 1.513204e+03
2.320000e+00 -3.103498e+01 1.521502e+03
2.330000e+00 -2.829166e+01 1.529800e+03
2.340000e+00 -2.554834e+01 1.538098e+03
2.350000e+00 -2.280502e+01 1.546396e+03
2.360000e+00 -2.006169e+01 1.554693e+03
2.370000e+00 -1.731837e+01 1.562991e+03
2.380000e+00 -1.457505e+01 1.571289e+03
2.390000e+00 -1.183173e+01 1.579587e+03
2.400000e+00 -9.088403e+00 1.587885e+03
2.410000e+00 -6.345081e+00 1.596183e+03
2.420000e+00 -3.601758e+00 1.604481e+03
2.430000e+00 -8.584354e-01 1.612779e+03
2.440000e+00 1.884887e+00 1.621077e+03
2.450000e+00 4.628210e+00 1.629375e+03
2.460000e+00 7.371533e+00 1.637673e+03
2.470000e+00 1.011486e+01 1.645971e+03
