#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, y-plane
# beta_factor is dimensionless: sum(beta_i/<beta>)
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp_beta [V/pC/m]"
#------------------------
-7.644707679000	5.7823995215621e-14
-7.614728433200	1.2509998964918e-14
-7.584749187400	6.5607994571570e-14
-7.554769941600	1.2231998987920e-14
-7.524790695800	7.2001994042528e-14
-7.494811450000	3.3359997239781e-15
-7.464832204200	5.3375995583650e-14
-7.434852958400	-3.3081997262783e-14
-7.404873712600	2.6409997814827e-14
-7.374894466800	2.7799997699818e-15
-7.344915221000	3.7807996871752e-14
-7.314935975200	-2.0849998274863e-14
-7.284956729400	4.0031996687738e-14
-7.254977483600	-3.0857997446798e-14
-7.224998237800	7.5059993789508e-15
-7.195018992000	-4.7815996043687e-14
-7.165039746200	1.4455998803905e-14
-7.135060500400	-5.1151995767665e-14
-7.105081254600	5.0039995859672e-15
-7.075102008800	-4.1977996526725e-14
-7.045122763000	4.1699996549727e-15
-7.015143517200	-7.1445994088532e-14
-6.985164271400	-2.6409997814827e-14
-6.955185025600	-5.2819995629654e-14
-6.925205779800	-9.1739992409399e-15
-6.895226534000	-3.0301997492801e-14
-6.865247288200	3.3359997239781e-15
-6.835268042400	-4.6286996170197e-14
-6.805288796600	8.2009993214463e-15
-6.775309550800	-6.8804994307049e-14
-6.745330305000	-3.7529996894754e-14
-6.715351059200	-1.6262998654393e-14
-6.685371813400	5.0039995859672e-15
-6.655392567600	-1.2648998953417e-14
-6.625413321800	1.2370998976419e-14
-6.595434076000	-2.4880997941337e-14
-6.565454830200	5.4209995514645e-15
-6.535475584400	-7.1167994111534e-14
-6.505496338600	-1.8695498453128e-14
-6.475517092800	-4.4757996296707e-14
-6.445537847000	-2.5297997906834e-14
-6.415558601200	-3.8919996779745e-14
-6.385579355400	-2.3143498085098e-14
-6.355600109600	-5.6051745362258e-14
-6.325620863800	-2.2335560651947e-14
-6.295641618000	-6.9450041128678e-14
-6.265662372200	-5.8649307647335e-14
-6.235683126400	-3.5497122062955e-14
-6.205703880600	-1.0633499120180e-14
-6.175724634800	-7.4017493875765e-15
-6.145745389000	-9.6952491978115e-15
-6.115766143200	-1.6123998665894e-14
-6.085786897400	-1.1884499016672e-14
-6.055807651600	-6.2688994813089e-14
-6.025828405800	-3.9614996722240e-14
-5.995849160000	-1.4177998826907e-14
-5.965869914200	-1.1119999079927e-15
-5.935890668400	1.5289998734900e-15
-5.905911422600	1.5289998734900e-15
-5.875932176800	-1.3204998907413e-14
-5.845952931000	6.9499994249545e-15
-5.815973685200	-3.9336996745242e-14
-5.785994439400	-2.3907998021843e-14
-5.756015193600	-6.9499994249545e-15
-5.726035947800	-9.5909992064372e-15
-5.696056702000	8.2009993214463e-15
-5.666077456200	1.4177998826907e-14
-5.636098210400	-9.1739992409399e-15
-5.606118964600	4.4479996319709e-15
-5.576139718800	-3.2247997331789e-14
-5.546160473000	-3.8919996779745e-14
-5.516181227200	2.7521997722820e-14
-5.486201981400	1.0285999148933e-14
-5.456222735600	4.3923996365712e-14
-5.426243489800	2.7799997699818e-14
-5.396264244000	4.5869996204700e-14
-5.366284998200	2.9467997561807e-14
-5.336305752400	2.7799997699818e-15
-5.306326506600	-7.2279994019526e-15
-5.276347260800	2.5297997906834e-14
-5.246368015000	6.9499994249545e-15
-5.216388769200	4.9483995905676e-14
-5.186409523400	4.0587996641734e-14
-5.156430277600	5.0873995790667e-14
