# Freq(GHz) Re(Z) Im(Z)
1.260000e+00 2.417266e+04 8.860793e+04
1.270000e+00 2.583833e+04 8.765195e+04
1.280000e+00 2.748864e+04 8.668968e+04
1.290000e+00 2.771808e+04 8.514457e+04
1.300000e+00 2.794751e+04 8.359947e+04
1.310000e+00 2.817695e+04 8.205436e+04
1.320000e+00 2.840639e+04 8.050925e+04
1.330000e+00 2.863583e+04 7.896415e+04
1.340000e+00 2.886526e+04 7.741904e+04
1.350000e+00 2.909470e+04 7.587393e+04
1.360000e+00 2.932414e+04 7.432883e+04
1.370000e+00 2.955357e+04 7.278372e+04
1.380000e+00 2.978301e+04 7.123862e+04
1.390000e+00 3.001245e+04 6.969351e+04
1.400000e+00 3.024189e+04 6.814840e+04
1.410000e+00 3.047132e+04 6.660330e+04
1.420000e+00 3.070076e+04 6.505819e+04
1.430000e+00 3.093020e+04 6.351308e+04
1.440000e+00 3.115963e+04 6.196798e+04
1.450000e+00 3.138907e+04 6.042287e+04
1.460000e+00 3.161851e+04 5.887776e+04
1.470000e+00 3.184794e+04 5.733266e+04
1.480000e+00 3.207738e+04 5.578755e+04
1.490000e+00 3.230682e+04 5.424245e+04
1.500000e+00 3.253626e+04 5.269734e+04
1.510000e+00 3.276569e+04 5.115223e+04
1.520000e+00 3.299513e+04 4.960713e+04
1.530000e+00 3.322457e+04 4.806202e+04
1.540000e+00 3.298154e+04 4.680198e+04
1.550000e+00 3.206652e+04 4.594739e+04
1.560000e+00 3.115150e+04 4.509279e+04
1.570000e+00 3.023648e+04 4.423820e+04
1.580000e+00 2.932146e+04 4.338361e+04
1.590000e+00 2.840645e+04 4.252901e+04
1.600000e+00 2.749143e+04 4.167442e+04
1.610000e+00 2.657641e+04 4.081983e+04
1.620000e+00 2.566139e+04 3.996524e+04
1.630000e+00 2.474637e+04 3.911064e+04
1.640000e+00 2.383136e+04 3.825605e+04
1.650000e+00 2.291634e+04 3.740146e+04
1.660000e+00 2.200132e+04 3.654686e+04
1.670000e+00 2.108630e+04 3.569227e+04
1.680000e+00 2.017128e+04 3.483768e+04
1.690000e+00 1.925626e+04 3.398308e+04
1.700000e+00 1.834125e+04 3.312849e+04
1.710000e+00 1.742623e+04 3.227390e+04
1.720000e+00 1.651121e+04 3.141930e+04
1.730000e+00 1.559619e+04 3.056471e+04
1.740000e+00 1.468117e+04 2.971012e+04
1.750000e+00 1.376615e+04 2.885553e+04
1.760000e+00 1.285114e+04 2.800093e+04
1.770000e+00 1.193612e+04 2.714634e+04
1.780000e+00 1.102110e+04 2.629175e+04
1.790000e+00 1.010608e+04 2.543715e+04
1.800000e+00 9.135048e+03 2.551159e+04
1.810000e+00 8.151297e+03 2.579695e+04
1.820000e+00 7.167547e+03 2.608231e+04
1.830000e+00 6.183796e+03 2.636767e+04
1.840000e+00 5.200045e+03 2.665303e+04
1.850000e+00 4.216295e+03 2.693839e+04
1.860000e+00 3.232544e+03 2.722375e+04
1.870000e+00 2.248793e+03 2.750911e+04
1.880000e+00 1.265042e+03 2.779447e+04
1.890000e+00 2.812917e+02 2.807983e+04
1.900000e+00 -7.024590e+02 2.836519e+04
1.910000e+00 -1.686210e+03 2.865054e+04
1.920000e+00 -2.669960e+03 2.893590e+04
1.930000e+00 -3.653711e+03 2.922126e+04
1.940000e+00 -4.637462e+03 2.950662e+04
1.950000e+00 -5.621213e+03 2.979198e+04
1.960000e+00 -6.604963e+03 3.007734e+04
1.970000e+00 -7.588714e+03 3.036270e+04
1.980000e+00 -8.572465e+03 3.064806e+04
1.990000e+00 -9.556216e+03 3.093342e+04
2.000000e+00 -1.053997e+04 3.121878e+04
2.010000e+00 -1.152372e+04 3.150414e+04
2.020000e+00 -1.250747e+04 3.178950e+04
2.030000e+00 -1.349122e+04 3.207486e+04
2.040000e+00 -1.447497e+04 3.236022e+04
2.050000e+00 -1.528650e+04 3.277076e+04
2.060000e+00 -1.547700e+04 3.363269e+04
2.070000e+00 -1.566750e+04 3.449462e+04
2.080000e+00 -1.585800e+04 3.535656e+04
2.090000e+00 -1.604850e+04 3.621849e+04
2.100000e+00 -1.623900e+04 3.708042e+04
2.110000e+00 -1.642951e+04 3.794235e+04
2.120000e+00 -1.662001e+04 3.880428e+04
2.130000e+00 -1.681051e+04 3.966622e+04
2.140000e+00 -1.700101e+04 4.052815e+04
2.150000e+00 -1.719151e+04 4.139008e+04
2.160000e+00 -1.738201e+04 4.225201e+04
2.170000e+00 -1.757251e+04 4.311394e+04
2.180000e+00 -1.776301e+04 4.397587e+04
2.190000e+00 -1.795352e+04 4.483781e+04
2.200000e+00 -1.814402e+04 4.569974e+04
2.210000e+00 -1.833452e+04 4.656167e+04
2.220000e+00 -1.852502e+04 4.742360e+04
2.230000e+00 -1.871552e+04 4.828553e+04
2.240000e+00 -1.890602e+04 4.914747e+04
2.250000e+00 -1.909652e+04 5.000940e+04
2.260000e+00 -1.928702e+04 5.087133e+04
2.270000e+00 -1.947752e+04 5.173326e+04
2.280000e+00 -1.966803e+04 5.259519e+04
